Date,Day,Opponent1,Pts,Opponent1_Location,Opponent2,Pts,Notes
09/10/05,Oklahoma,31,"Away",Tulsa,15,
09/10/05,Oregon,47,"Away",Montana,14,
09/10/05,Oregon State,30,"Away",Boise State,27,
09/10/05,Penn State,42,"Away",Cincinnati,24,
09/10/05,Purdue,49,"Away",Akron,24,
09/10/05,Rutgers,38,"Away",Villanova,6,
09/10/05,South Florida,37,"Away",Florida A&M,3,
09/10/05,Southern Methodist,21,"Away",Texas Christian,10,
09/10/05,Stanford,41,"Home",Navy,38,
09/10/05,Syracuse,31,"Away",Buffalo,0,
09/10/05,Texas,25,"Home",Ohio State,22,
09/10/05,Texas Tech,56,"Away",Florida International,3,
09/10/05,Toledo,56,"Away",Western Michigan,23,
09/10/05,UCLA,63,"Away",Rice,21,
09/10/05,Utah,31,"Away",Utah State,7,
09/10/05,Vanderbilt,28,"Home",Arkansas,24,
09/10/05,Virginia Tech,45,"Home",Duke,0,
09/10/05,West Virginia,35,"Away",Wofford,7,
09/10/05,Wisconsin,65,"Away",Temple,0,
09/10/05,Wyoming,38,"Away",Louisiana-Monroe,0,
09/15/05,Texas Christian,23,"Away",Utah,20,
09/16/05,Texas-El Paso,44,"Away",Houston,41,
09/17/05,Akron,17,"Home",Middle Tennessee State,7,
09/17/05,Alabama,37,"Home",South Carolina,14,
09/17/05,Alabama-Birmingham,35,"Away",Jacksonville State,28,
09/17/05,Arizona State,52,"Away",Northwestern,21,
09/17/05,Auburn,63,"Away",Ball State,3,
09/17/05,Baylor,20,"Home",Army,10,
09/17/05,California,35,"Away",Illinois,20,
09/17/05,California-Davis,20,"Home",Stanford,17,
09/17/05,Cincinnati,7,"Away",Western Carolina,3,
09/17/05,Duke,40,"Away",Virginia Military Institute,14,
09/17/05,Florida,16,"Away",Tennessee,7,
09/17/05,Florida State,28,"Home",Boston College,17,
09/17/05,Georgia,44,"Away",Louisiana-Monroe,7,
09/17/05,Georgia Tech,28,"Away",Connecticut,13,
09/17/05,Indiana,38,"Away",Kentucky,14,
09/17/05,Iowa,45,"Away",Northern Iowa,21,
09/17/05,Kansas,34,"Away",Louisiana Tech,14,
09/17/05,Louisiana-Lafayette,49,"Away",Northwestern State,28,
09/17/05,Louisville,63,"Away",Oregon State,27,
09/17/05,Memphis,59,"Away",Chattanooga,14,
09/17/05,Miami Clemson,30,
09/17/05,Miami (OH),27,"Home",Kent State,10,
09/17/05,Michigan,55,"Away",Eastern Michigan,0,
09/17/05,Michigan State,44,"Home",Notre Dame,41,
09/17/05,Minnesota,46,"Away",Florida Atlantic,7,
09/17/05,Mississippi State,21,"Away",Tulane,14,Shreveport LA
09/17/05,Missouri,52,"Away",Troy,21,
09/17/05,Nebraska,7,"Away",Pittsburgh,6,
09/17/05,Nevada,22,"Away",Nevada-Las Vegas,14,
09/17/05,New Mexico,38,"Away",New Mexico State,21,
09/17/05,North Carolina State,54,"Away",Eastern Kentucky,10,
09/17/05,Northern Illinois,42,"Away",Tennessee Tech,3,
09/17/05,Ohio State,27,"Away",San Diego State,6,
09/17/05,Oklahoma State,20,"Away",Arkansas State,10,
09/17/05,Oregon,37,"Away",Fresno State,34,
09/17/05,Penn State,40,"Away",Central Michigan,3,
09/17/05,Purdue,31,"Home",Arizona,24,
09/17/05,Rutgers,17,"Home",Buffalo,3,
09/17/05,South Florida,31,"Away",Central Florida,14,
09/17/05,Southern California,70,"Away",Arkansas,17,
09/17/05,Southern Mississippi,48,"Away",McNeese State,20,
09/17/05,Texas,51,"Away",Rice,10,
09/17/05,Texas A&M,66,"Away",Southern Methodist,8,
09/17/05,Texas Tech,80,"Away",Sam Houston State,21,
09/17/05,Toledo,42,"Home",Temple,17,
09/17/05,Tulsa,54,"Home",North Texas,2,
09/17/05,UCLA,41,"Away",Oklahoma,24,
09/17/05,Vanderbilt,31,"Away",Mississippi,23,
09/17/05,Virginia,27,"Home",Syracuse,24,
09/17/05,Virginia Tech,45,"Away",Ohio,0,
09/17/05,Wake Forest,44,"Away",East Carolina,34,
09/17/05,Washington,34,"Away",Idaho,6,
09/17/05,Washington State,48,"Away",Grambling State,7,Seattle WA
09/17/05,West Virginia,31,"Home",Maryland,19,
09/17/05,Western Michigan,34,"Away",Southern Illinois,28,
09/17/05,Wisconsin,14,"Home",North Carolina,5,
09/17/05,Wyoming,29,"Home",Air Force,28,
09/21/05,Boise State,48,"Away",Bowling Green State,20,
09/22/05,Louisiana-Monroe,28,"Home",Florida Atlantic,21,
09/22/05,Texas A&M,44,"Away",Texas State,31,
09/22/05,Utah,38,"Away",Air Force,35,
09/23/05,California,41,"Home",New Mexico State,13,
09/23/05,Iowa State,28,"Home",Army,21,
09/24/05,Akron,48,"Away",Northern Illinois,42,
09/24/05,Alabama,24,"Away",Arkansas,13,
09/24/05,Arizona State,42,"Home",Oregon State,24,
09/24/05,Arkansas State,66,"Away",Florida International,24,
09/24/05,Auburn,37,"Away",Western Kentucky,14,
09/24/05,Boston College,16,"Home",Clemson,13,
09/24/05,Central Florida,23,"Away",Marshall,13,
09/24/05,Colorado State,42,"Away",Nevada,21,
09/24/05,Eastern Michigan,23,"Home",Central Michigan,20,
09/24/05,Florida,49,"Home",Kentucky,28,
09/24/05,Georgia,23,"Home",Mississippi State,10,
09/24/05,Hawaii,24,"Home",Idaho,0,
09/24/05,Kansas State,54,"Away",North Texas,7,
09/24/05,Maryland,22,"Home",Wake Forest,12,
09/24/05,Miami (FL),23,"Away",Colorado,3,
09/24/05,Michigan State,61,"Home",Illinois,14,
09/24/05,Minnesota,42,"Away",Purdue,35,
09/24/05,North Carolina,31,"Home",North Carolina State,24,
09/24/05,Notre Dame,36,"Home",Washington,17,
09/24/05,Ohio,35,"Away",Kent State,32,
09/24/05,Ohio State,31,"Away",Iowa,6,
09/24/05,Penn State,34,"Home",Northwestern,29,
09/24/05,Pittsburgh,41,"Away",Youngstown State,0,
09/24/05,San Diego State,52,"Away",San Jose State,21,
09/24/05,South Carolina,45,"Away",Troy,20,
09/24/05,South Florida,45,"Away",Louisville,14,
09/24/05,Southern California,45,"Home",Oregon,13,
09/24/05,Texas Christian,51,"Home",Brigham Young,50,
09/24/05,Texas Tech,63,"Away",Indiana State,7,
09/24/05,Texas-El Paso,21,"Away",New Mexico,13,
09/24/05,Tulane,31,"Home",Southern Methodist,10,
09/24/05,Tulsa,37,"Away",Memphis,31,
09/24/05,Utah State,31,"Away",Nevada-Las Vegas,24,
09/24/05,Vanderbilt,37,"Away",Richmond,13,
09/24/05,Virginia,38,"Away",Duke,7,
09/24/05,Virginia Tech,51,"Away",Georgia Tech,7,
09/24/05,West Virginia,20,"Away",East Carolina,15,
09/24/05,Western Michigan,19,"Home",Temple,16,
09/24/05,Wisconsin,23,"Away",Michigan,20,
09/24/05,Wyoming,24,"Home",Mississippi,14,
09/26/05,Tennessee,30,"Home",Louisiana State,27,
09/27/05,Fresno State,44,"Away",Toledo,14,
09/28/05,Miami (OH),44,"Away",Cincinnati,16,
09/29/05,Colorado State,41,"Away",Air Force,23,
09/30/05,Rutgers,37,"Away",Pittsburgh,29,
Oct 1 2005,Alabama,31,"Away",Florida,3,
Oct 1 2005,Alabama-Birmingham,45,"Away",Rice,26,
Oct 1 2005,Auburn,48,"Away",South Carolina,7,
Oct 1 2005,Boise State,44,"Home",Hawaii,41,
Oct 1 2005,Boston College,38,"Away",Ball State,0,
Oct 1 2005,Bowling Green State,70,"Away",Temple,7,
Oct 1 2005,California,28,"Away",Arizona,0,
Oct 1 2005,Central Florida,24,"Home",Louisiana-Lafayette,21,
Oct 1 2005,Central Michigan,31,"Home",Akron,17,
Oct 1 2005,Colorado,34,"Home",Oklahoma State,0,
Oct 1 2005,Connecticut,47,"Home",Army,13,
Oct 1 2005,Eastern Michigan,27,"Away",Kent State,20,
Oct 1 2005,Florida International,23,"Away",Florida A&M,6,
Oct 1 2005,Florida State,38,"Away",Syracuse,14,
Oct 1 2005,Houston,30,"Home",Tulsa,23,
Oct 1 2005,Idaho,27,"Away",Utah State,13,
Oct 1 2005,Iowa,35,"Away",Illinois,7,
Oct 1 2005,Louisiana State,37,"Home",Mississippi State,7,
Oct 1 2005,Louisiana Tech,34,"Away",New Mexico State,14,
Oct 1 2005,Louisiana-Monroe,31,"Away",Arkansas State,27,
Oct 1 2005,Louisville,61,"Away",Florida Atlantic,10,
Oct 1 2005,Marshall,16,"Away",Southern Methodist,13,
Oct 1 2005,Maryland,45,"Away",Virginia,33,
Oct 1 2005,Memphis,27,"Away",Texas-El Paso,20,
Oct 1 2005,Miami (FL),27,"Away",South Florida,7,
Oct 1 2005,Michigan,34,"Home",Michigan State,31,
Oct 1 2005,Middle Tennessee State,17,"Home",Vanderbilt,15,
Oct 1 2005,Navy,28,"Home",Duke,21,
Oct 1 2005,Nebraska,27,"Away",Iowa State,20,
Oct 1 2005,Nevada,30,"Home",San Jose State,23,
Oct 1 2005,North Carolina,31,"Away",Utah,17,
Oct 1 2005,Notre Dame,49,"Home",Purdue,28,
Oct 1 2005,Oklahoma,43,"Away",Kansas State,21,
Oct 1 2005,Oregon,44,"Home",Stanford,20,
Oct 1 2005,Oregon State,44,"Away",Washington State,33,
Oct 1 2005,Penn State,44,"Away",Minnesota,14,
Oct 1 2005,San Diego State,31,"Away",Brigham Young,10,
Oct 1 2005,Southern California,38,"Home",Arizona State,28,
Oct 1 2005,Southern Mississippi,33,"Home",East Carolina,7,
