"721","Air Force","09/13/07","33","FOWLER","DREW","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/13/07","33","FOWLER","DREW","","","","","","","","","","","","0","0","","","","1","26","1","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/20/07","33","FOWLER","DREW","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/20/07","11","GIANNINI","BOBBY","","","","","","","","","","","","0","0","","","","","","","1","85","1","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/17/07","11","GIANNINI","BOBBY","","","","","","","","","","","","0","0","","","","1","26","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/01/07","1","HALL","CHAD","4","23","2","21","1","","","","","","","4","21","2","31","0","","","","","","","","","2","48","0","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/08/07","1","HALL","CHAD","11","74","0","74","0","","","","","","","11","74","3","14","0","","","","","","","","","1","4","0","3","77","0","","","","","","","","","","","","","0"
"721","Air Force","09/13/07","1","HALL","CHAD","5","17","2","15","0","","","","","","","5","15","6","48","0","","","","","","","","","1","4","0","2","46","0","","","","","","","","","","","","","0"
"721","Air Force","09/22/07","1","HALL","CHAD","2","19","0","19","0","","","","","","","2","19","6","80","0","","","","","","","","","","","","2","38","0","","","","","","","","","","","","","0"
"721","Air Force","09/29/07","1","HALL","CHAD","6","33","4","29","2","","","","","","","6","29","8","108","0","","","","","","","","","2","33","0","1","12","0","2","","","","","","","","","","","","12"
"721","Air Force","10/06/07","1","HALL","CHAD","18","169","0","169","2","","","","","","","18","169","4","44","0","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","10/13/07","1","HALL","CHAD","31","262","6","256","4","","","","","","","31","256","1","12","0","","","","","","","","","","","","","","","4","","","","","","","","","","","","24"
"721","Air Force","10/20/07","1","HALL","CHAD","28","173","6","167","0","","","","","","","28","167","2","4","1","","","","","","","","","1","7","0","1","21","0","1","","","","","","","","","","","","6"
"721","Air Force","10/25/07","1","HALL","CHAD","21","99","2","97","2","","","","","","","21","97","6","66","0","","","","","","","","","","","","4","84","0","2","","","","","","","","","","","","12"
"721","Air Force","11/03/07","1","HALL","CHAD","34","281","6","275","1","","","","","","","34","275","3","19","0","","","","","","","","","3","39","0","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/10/07","1","HALL","CHAD","32","149","7","142","0","","","","","","","32","142","2","31","0","","","","","","","","","1","0","0","3","99","0","","","","","","","","","","","","","0"
"721","Air Force","11/17/07","1","HALL","CHAD","19","151","0","151","2","","","","","","","19","151","3","31","0","","","","","","","","","3","41","0","2","48","0","2","","","","","","","","","","","","12"
"721","Air Force","12/31/07","1","HALL","CHAD","19","79","16","63","1","","","","","","","19","63","4","36","0","","","","","","","","","","","","4","80","0","1","","","1","0","","","","","","","","6"
"721","Air Force","09/01/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","2","96","","","","","","","","4","4","0","0","","","","","2","2","","10"
"721","Air Force","09/08/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","6","237","","","","","","","","2","2","0","0","","","","","3","2","","8"
"721","Air Force","09/13/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","7","326","","","","","","","","2","2","0","0","","","","","3","2","","8"
"721","Air Force","09/22/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","6","211","","","","","","","","","","","","","","","","1","0","","0"
"721","Air Force","09/29/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","2","50","","","","","","","","2","2","0","0","","","","","4","2","","8"
"721","Air Force","10/06/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","2","119","","","","","","","","4","4","0","0","","","","","1","1","","7"
"721","Air Force","10/13/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","1","37","","","","","","","","6","6","0","0","","","","","1","1","","9"
"721","Air Force","10/20/07","13","HARRISON","RYAN","","","","","","1","1","0","22","0","","1","22","","","","","","","","","","3","178","","","","","","","","3","2","0","0","","","","","3","0","","2"
"721","Air Force","10/25/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","4","168","","","","","","","","4","4","0","0","","","","","1","1","","7"
"721","Air Force","11/03/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","2","84","","","","","","","","3","3","0","0","","","","","3","3","","12"
"721","Air Force","11/10/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","4","179","","","","","","","","5","5","0","0","","","","","2","2","","11"
"721","Air Force","11/17/07","13","HARRISON","RYAN","","","","","","","","","","","","0","0","","","","","","","","","","4","165","","","","","","","","8","7","0","0","","","","","","","","7"
