Date,"Opponent1","Pts","Opponent1_Location","Opponent2","Pts",Notes
"10/12/06","Air Force","24","Away","Colorado St.","21",
"09/30/06","Air Force","24","Away","New Mexico","7",
"09/23/06","Air Force","31","Home","Wyoming","24",
"11/03/06","Air Force","43","Home","Army","7",
"09/09/06","Akron","20","Home","North Carolina St.","17",
"10/21/06","Akron","24","Away","Miami (OH)","13",
"11/09/06","Akron","31","Away","Buffalo","16",
"09/23/06","Akron","33","Away","North Texas","13",
"11/04/06","Akron","35","Away","Bowling Green St.","28",
"09/09/06","Alabama","13","Away","Vanderbilt","10",
"09/02/06","Alabama","25","Away","Hawaii","17",
"10/14/06","Alabama","26","Away","Ole Miss","23",
"10/07/06","Alabama","30","Away","Duke","14",
"10/28/06","Alabama","38","Away","FIU","3",
"09/16/06","Alabama","41","Away","La.-Monroe","7",
"09/09/06","UAB","17","Away","East Carolina","12",
"09/30/06","UAB","21","Away","Troy","3",
"10/07/06","UAB","35","Away","Memphis","29",
"09/16/06","Arizona St.","21","Home","Colorado","3",
"10/28/06","Arizona St.","26","Home","Washington","23",
"11/25/06","Arizona St.","28","Home","Arizona","14",
"08/31/06","Arizona St.","35","Away","Northern Arizona","14",
"10/21/06","Arizona St.","38","Away","Stanford","3",
"11/11/06","Arizona St.","47","Away","Washington St.","14",
"09/09/06","Arizona St.","52","Away","Nevada","21",
"09/02/06","Arizona","16","Away","BYU","13",
"10/14/06","Arizona","20","Home","Stanford","7",
"11/11/06","Arizona","24","Away","California","20",
"11/04/06","Arizona","27","Home","Washington St.","17",
"09/16/06","Arizona","28","Away","Stephen F. Austin","10",
"11/18/06","Arizona","37","Home","Oregon","10",
"10/07/06","Arkansas St.","10","Away","La.-Monroe","6",
"09/02/06","Arkansas St.","14","Away","Army","6",
"10/14/06","Arkansas St.","26","Home","Memphis","23",
"10/21/06","Arkansas St.","29","Away","North Texas","10",
"09/30/06","Arkansas St.","31","Home","FIU","6",
"11/18/06","Arkansas St.","33","Home","Troy","26",
"09/09/06","Arkansas","20","Away","Utah St.","0",
"09/16/06","Arkansas","21","Home","Vanderbilt","19",
"09/23/06","Arkansas","24","Away","Alabama","23",
"11/04/06","Arkansas","26","Home","South Carolina","20",
"10/07/06","Arkansas","27","Home","Auburn","10",
"11/18/06","Arkansas","28","Home","Mississippi St.","14",
"11/11/06","Arkansas","31","Away","Tennessee","14",
"10/21/06","Arkansas","38","Away","Ole Miss","3",
"10/28/06","Arkansas","44","Away","La.-Monroe","10",Little Rock AR
"10/14/06","Arkansas","63","Away","Southeast Missouri St.","7",
"09/09/06","Army","17","Away","Kent St.","14",
"09/23/06","Army","27","Home","Baylor","20",
"10/07/06","Army","62","Away","Virginia Military Institute","7",
"01/01/07","Auburn","17","Away","Nebraska","14",Cotton Bowl (Dallas TX)
"11/18/06","Auburn","22","Home","Alabama","15",
"10/28/06","Auburn","23","Home","Ole Miss","17",
"09/28/06","Auburn","24","Home","South Carolina","17",
"11/04/06","Auburn","27","Away","Arkansas St.","0",
"10/14/06","Auburn","27","Away","Florida","17",
"09/09/06","Auburn","34","Home","Mississippi St.","0",
"09/23/06","Auburn","38","Away","Buffalo","7",
"10/21/06","Auburn","38","Away","Tulane","13",
"09/02/06","Auburn","40","Away","Washington St.","14",
"09/16/06","Auburn","7","Away","LSU","3",
"10/28/06","Ball St.","20","Home","Miami (OH)","17",
"11/14/06","Ball St.","20","Home","Toledo","17",
"11/24/06","Ball St.","30","Away","Kent St.","6",
"08/31/06","Ball St.","38","Away","Eastern Mich.","20",
"10/07/06","Ball St.","55","Home","Buffalo","25",
"09/30/06","Baylor","17","Away","Kansas St.","3",
"10/07/06","Baylor","34","Home","Colorado","31",
"10/21/06","Baylor","36","Away","Kansas","35",
"09/09/06","Baylor","47","Away","Northwestern St.","10",
"09/16/06","Boise St.","17","Home","Wyoming","10",
"11/11/06","Boise St.","23","Home","San Jose St.","20",
"09/30/06","Boise St.","36","Home","Utah","3",
"11/25/06","Boise St.","38","Home","Nevada","7",
