Date,"Opponent1","Pts","Opponent1_Location","Opponent2","Pts",Notes
"10/15/06","Boise St.","40","Home","New Mexico St.","28",
"09/23/06","Boise St.","41","Away","Hawaii","34",
"09/07/06","Boise St.","42","Away","Oregon St.","14",
"10/21/06","Boise St.","42","Home","Idaho","26",
"01/01/07","Boise St.","43","Away","Oklahoma","42",Fiesta Bowl (Glendale AZ)
"11/01/06","Boise St.","45","Away","Fresno St.","21",
"08/31/06","Boise St.","45","Away","Sacramento St.","0",
"11/18/06","Boise St.","49","Away","Utah St.","10",
"10/07/06","Boise St.","55","Away","Louisiana Tech","14",
"09/30/06","Boston College","22","Away","Maine","0",
"10/12/06","Boston College","22","Away","Virginia Tech","3",
"10/21/06","Boston College","24","Home","Florida St.","19",
"12/30/06","Boston College","25","Away","Navy","24",Meineke Car Care Bowl (Charlotte NC)
"11/11/06","Boston College","28","Away","Duke","7",
"09/16/06","Boston College","30","Away","BYU","23",
"08/31/06","Boston College","31","Home","Central Michigan","24",
"09/09/06","Boston College","34","Away","Clemson","33",
"11/18/06","Boston College","38","Away","Maryland","16",
"10/28/06","Boston College","41","Away","Buffalo","0",
"09/30/06","Bowling Green St.","21","Home","Ohio","9",
"10/14/06","Bowling Green St.","24","Away","Eastern Mich.","21",
"09/16/06","Bowling Green St.","33","Home","FIU","28",
"09/09/06","Bowling Green St.","48","Away","Buffalo","40",
"11/04/06","BYU","24","Home","Colorado St.","3",
"09/28/06","BYU","31","Home","TCU","17",
"10/28/06","BYU","33","Home","Air Force","14",
"11/25/06","BYU","33","Home","Utah","31",
"12/21/06","BYU","38","Away","Oregon","8",Las Vegas Bowl (Las Vegas NV)
"09/23/06","BYU","38","Away","Utah St.","0",
"11/18/06","BYU","42","Away","New Mexico","17",
"10/07/06","BYU","47","Away","San Diego St.","17",
"09/09/06","BYU","49","Away","Tulsa","24",
"10/21/06","BYU","52","Away","UNLV","7",
"11/09/06","BYU","55","Away","Wyoming","7",
"11/04/06","Buffalo","41","Away","Kent St.","14",
"08/31/06","Buffalo","9","Away","Temple","3",
"10/28/06","Cal Poly","16","Home","San Diego St.","14",
"10/14/06","California","21","Home","Washington St.","3",
"12/02/06","California","26","Away","Stanford","17",
"10/21/06","California","31","Away","Washington","24",
"11/04/06","California","38","Away","UCLA","24",
"09/30/06","California","41","Home","Oregon St.","13",
"09/09/06","California","42","Away","Minnesota","17",
"09/16/06","California","42","Away","Portland St.","16",
"10/07/06","California","45","Away","Oregon","24",
"12/28/06","California","45","Away","Texas A&M","10",Holiday Bowl (San Diego CA)
"09/23/06","California","49","Away","Arizona St.","21",
"10/04/06","UCF","23","Home","Marshall","22",
"11/11/06","UCF","26","Home","Memphis","24",
"11/25/06","UCF","31","Away","UAB","22",
"09/02/06","UCF","35","Away","Villanova","16",
"10/14/06","Central Michigan","18","Away","Ball St.","7",
"09/16/06","Central Michigan","24","Away","Akron","21",
"09/23/06","Central Michigan","24","Home","Eastern Mich.","17",
"10/19/06","Central Michigan","31","Away","Bowling Green St.","14",
"12/26/06","Central Michigan","31","Away","Middle Tenn.","14",Motor City Bowl (Detroit MI)
"11/30/06","Central Michigan","31","Away","Ohio","10",MAC Championship (Detroit MI)
"11/10/06","Central Michigan","31","Away","Western Mich.","7",
"11/04/06","Central Michigan","42","Home","Temple","26",
"10/07/06","Central Michigan","42","Home","Toledo","20",
"11/24/06","Central Michigan","55","Home","Buffalo","28",
"10/28/06","Cincinnati","17","Away","Syracuse","3",
"10/07/06","Cincinnati","20","Away","Akron","14",
"10/22/06","Cincinnati","23","Away","South Fla.","6",
"09/30/06","Cincinnati","24","Away","Miami (OH)","10",
"11/25/06","Cincinnati","26","Home","Connecticut","23",
"01/06/07","Cincinnati","27","Away","Western Mich.","24",International Bowl (Toronto Canada)
"11/18/06","Cincinnati","30","Away","Rutgers","11",
"09/02/06","Cincinnati","31","Away","Eastern Kentucky","0",
"11/11/06","Clemson","20","Away","North Carolina St.","14",
"09/16/06","Clemson","27","Home","Florida St.","20",
"10/07/06","Clemson","27","Home","Wake Forest","17",
"10/21/06","Clemson","31","Away","Georgia Tech","7",
"09/30/06","Clemson","51","Away","Louisiana Tech","0",
"09/23/06","Clemson","52","Away","North Carolina","7",
"09/02/06","Clemson","54","Away","Florida Atlantic","6",
"10/12/06","Clemson","63","Away","Temple","9",Charlotte NC
"09/09/06","Colorado St.","14","Away","Colorado","10",Denver CO
"10/07/06","Colorado St.","28","Away","UNLV","7",
"09/02/06","Colorado St.","30","Away","Weber St.","6",
"09/30/06","Colorado St.","35","Home","Fresno St.","23",
"10/14/06","Colorado","30","Away","Texas Tech","6",
"11/11/06","Colorado","33","Away","Iowa St.","16",
"09/23/06","Connecticut","14","Home","Indiana","7",
"10/14/06","Connecticut","21","Away","Army","7",
"11/11/06","Connecticut","46","Away","Pittsburgh","45",
"08/31/06","Connecticut","52","Away","Rhode Island","7",
"10/28/06","East Carolina","20","Home","Southern Miss.","17",
"11/25/06","East Carolina","21","Home","North Carolina St.","16",
"11/04/06","East Carolina","23","Home","UCF","10",
"10/07/06","East Carolina","31","Away","Virginia","21",
"11/11/06","East Carolina","33","Away","Marshall","20",
"09/16/06","East Carolina","35","Away","Memphis","20",
"10/21/06","East Carolina","38","Away","SMU","21",
"10/21/06","Eastern Mich.","17","Away","Toledo","13",
"11/18/06","Florida Atlantic","17","Home","North Texas","16",
"09/30/06","Florida Atlantic","21","Home","La.-Monroe","19",
"10/28/06","Florida Atlantic","29","Away","Arkansas St.","0",
"11/25/06","Florida Atlantic","31","Away","FIU","0",Miami FL
"10/12/06","Florida Atlantic","32","Away","Southern Utah","7",
"09/04/06","Florida St.","13","Home","Miami (FL)","10",
"09/09/06","Florida St.","24","Away","Troy","17",
"11/18/06","Florida St.","28","Away","Western Mich.","20",
"11/04/06","Florida St.","33","Away","Virginia","0",
"12/27/06","Florida St.","44","Away","UCLA","27",Emerald Bowl (San Francisco CA)
"10/14/06","Florida St.","51","Home","Duke","24",
"09/23/06","Florida St.","55","Away","Rice","7",
"11/11/06","Florida","17","Away","South Carolina","16",
"10/28/06","Florida","21","Away","Georgia","14",Jacksonville FL
"11/25/06","Florida","21","Home","Florida St.","14",
"09/16/06","Florida","21","Home","Tennessee","20",
"10/07/06","Florida","23","Away","LSU","10",
"11/04/06","Florida","25","Home","Vanderbilt","19",
"09/23/06","Florida","26","Away","Kentucky","7",
"09/30/06","Florida","28","Away","Alabama","13",
"09/02/06","Florida","34","Away","Southern Miss.","7",
"12/02/06","Florida","38","Away","Arkansas","28",SEC Championship (Atlanta GA)
"01/08/07","Florida","41","Away","Ohio St.","14",BCS Championship (Glendale AZ)
"09/09/06","Florida","42","Away","UCF","0",
"11/18/06","Florida","62","Away","Western Carolina","0",
"11/11/06","Fresno St.","23","Away","New Mexico St.","18",
"09/01/06","Fresno St.","28","Away","Nevada","19",
"11/18/06","Fresno St.","34","Away","Idaho","0",
"11/24/06","Fresno St.","34","Home","Louisiana Tech","27",
"09/21/06","Georgia Tech","24","Away","Virginia","7",
"10/07/06","Georgia Tech","27","Away","Maryland","23",
"10/28/06","Georgia Tech","30","Away","Miami (FL)","23",
"11/04/06","Georgia Tech","31","Home","North Carolina St.","23",
"09/16/06","Georgia Tech","35","Away","Troy","20",
"09/09/06","Georgia Tech","38","Away","Samford","6",
"09/30/06","Georgia Tech","38","Home","Virginia Tech","27",
"11/18/06","Georgia Tech","49","Away","Duke","21",
"11/11/06","Georgia Tech","7","Home","North Carolina","0",
"09/23/06","Georgia","14","Away","Colorado","13",
"09/30/06","Georgia","14","Home","Ole Miss","9",
"11/25/06","Georgia","15","Away","Georgia Tech","12",
"09/09/06","Georgia","18","Home","South Carolina","0",
"10/21/06","Georgia","27","Away","Mississippi St.","24",
"12/30/06","Georgia","31","Away","Virginia Tech","24",Chick-Fil-A Bowl (Atlanta GA)
"09/16/06","Georgia","34","Away","UAB","0",
"11/11/06","Georgia","37","Home","Auburn","15",
"09/02/06","Georgia","48","Away","Western Ky.","12",
"12/24/06","Hawaii","41","Away","Arizona St.","24",Hawaii Bowl (Honolulu HI)
"10/07/06","Hawaii","41","Away","Nevada","34",
"09/16/06","Hawaii","42","Away","UNLV","13",
"11/25/06","Hawaii","42","Away","Purdue","35",
"09/30/06","Hawaii","44","Away","Eastern Illinois","9",
"10/21/06","Hawaii","49","Home","New Mexico St.","30",
"11/18/06","Hawaii","54","Away","San Jose St.","17",
"11/11/06","Hawaii","61","Away","Louisiana Tech","17",
"11/04/06","Hawaii","63","Home","Utah St.","10",
"10/28/06","Hawaii","68","Away","Idaho","10",
"10/14/06","Hawaii","68","Home","Fresno St.","37",
"11/18/06","Houston","23","Home","Memphis","20",
"11/04/06","Houston","27","Away","Tulsa","10",
"09/02/06","Houston","31","Home","Rice","30",
"09/23/06","Houston","34","Away","Oklahoma St.","25",
"12/01/06","Houston","34","Away","Southern Miss.","20",CUSA Championship
"10/21/06","Houston","34","Away","UTEP","17",
"11/11/06","Houston","37","Home","SMU","27",
"09/16/06","Houston","42","Away","Grambling St.","22",
"09/09/06","Houston","45","Away","Tulane","7",
"10/28/06","Houston","51","Away","UCF","31",
"10/14/06","Idaho","24","Home","Louisiana Tech","14",
"09/16/06","Idaho","27","Away","Idaho St.","24",
"10/07/06","Idaho","28","Away","New Mexico St.","20",
"09/30/06","Idaho","41","Home","Utah St.","21",
"09/30/06","Illinois","23","Home","Michigan St.","20",
"09/02/06","Illinois","42","Away","Eastern Illinois","17",
"09/09/06","Indiana","24","Home","Ball St.","23",
"10/14/06","Indiana","31","Away","Iowa","28",
"10/07/06","Indiana","34","Home","Illinois","32",
"09/02/06","Indiana","39","Away","Western Mich.","20",
"10/28/06","Indiana","46","Away","Michigan St.","21",
"09/09/06","Iowa St.","16","Away","UNLV","10",
"11/18/06","Iowa St.","21","Away","Missouri","16",
"09/30/06","Iowa St.","28","Away","Northern Iowa","27",
"08/31/06","Iowa St.","45","Away","Toledo","43",
"09/09/06","Iowa","20","Home","Syracuse","13",
"10/28/06","Iowa","24","Away","Northern Ill.","14",
"09/23/06","Iowa","24","Home","Illinois","7",
"09/16/06","Iowa","27","Away","Iowa St.","17",
"09/02/06","Iowa","41","Away","Montana","7",
"10/07/06","Iowa","47","Away","Purdue","17",
"09/16/06","Kansas St.","23","Away","Marshall","7",
"09/02/06","Kansas St.","24","Away","Illinois St.","23",
"10/28/06","Kansas St.","31","Away","Iowa St.","10",
"10/07/06","Kansas St.","31","Away","Oklahoma St.","27",
"11/04/06","Kansas St.","34","Home","Colorado","21",
"09/09/06","Kansas St.","45","Away","Florida Atlantic","0",
"11/11/06","Kansas St.","45","Away","Texas","42",
"09/23/06","Kansas","13","Away","South Fla.","7",
"10/28/06","Kansas","20","Away","Colorado","15",
"09/09/06","Kansas","21","Away","La.-Monroe","19",
"11/18/06","Kansas","39","Away","Kansas St.","20",
"11/04/06","Kansas","41","Home","Iowa St.","10",
"09/02/06","Kansas","49","Away","Northwestern St.","18",
"11/17/06","Kent St.","14","Away","Eastern Mich.","6",
"09/16/06","Kent St.","16","Home","Miami (OH)","14",
"10/07/06","Kent St.","28","Home","Temple","17",
"09/30/06","Kent St.","37","Away","Akron","15",
"09/23/06","Kent St.","38","Home","Bowling Green St.","3",
"10/14/06","Kent St.","40","Away","Toledo","14",
"11/04/06","Kentucky","24","Away","Georgia","20",
"12/29/06","Kentucky","28","Away","Clemson","20",Music City Bowl (Nashville TN)
"09/16/06","Kentucky","31","Away","Ole Miss","14",
"10/28/06","Kentucky","34","Home","Mississippi St.","31",
"11/11/06","Kentucky","38","Away","Vanderbilt","26",
"09/09/06","Kentucky","41","Away","Texas St.","7",
"11/18/06","Kentucky","42","Away","La.-Monroe","40",
"09/30/06","Kentucky","45","Away","Central Michigan","36",
"11/18/06","LSU","23","Away","Ole Miss","20",
"11/11/06","LSU","28","Away","Alabama","14",
"11/04/06","LSU","28","Home","Tennessee","24",
"11/24/06","LSU","31","Home","Arkansas","26",Little Rock AR
"10/21/06","LSU","38","Away","Fresno St.","6",
"01/03/07","LSU","41","Away","Notre Dame","14",Sugar Bowl (New Orleans LA)
"09/09/06","LSU","45","Away","Arizona","3",
"09/02/06","LSU","45","Away","La.-Lafayette","3",
"09/30/06","LSU","48","Away","Mississippi St.","17",
"10/14/06","LSU","49","Away","Kentucky","0",
"09/23/06","LSU","49","Away","Tulane","7",
"09/16/06","Louisiana Tech","31","Away","Nicholls St.","21",
"11/04/06","Louisiana Tech","34","Home","North Texas","31",
"10/21/06","Louisiana Tech","48","Away","Utah St.","35",
"11/18/06","La.-Lafayette","17","Home","FIU","7",
"11/25/06","La.-Lafayette","28","Away","Arkansas St.","13",
"10/07/06","La.-Lafayette","31","Home","Houston","28",
"09/30/06","La.-Lafayette","33","Away","Eastern Mich.","14",
"09/23/06","La.-Lafayette","48","Away","North Carolina A&T","7",
"10/18/06","La.-Lafayette","6","Home","Florida Atlantic","0",
"11/25/06","La.-Monroe","23","Away","North Texas","3",
"08/31/06","La.-Monroe","24","Away","Alcorn St.","6",
"11/11/06","La.-Monroe","35","Home","FIU","0",
"12/02/06","La.-Monroe","39","Home","La.-Lafayette","20",
"10/14/06","Louisville","23","Away","Cincinnati","17",
"01/02/07","Louisville","24","Away","Wake Forest","13",Orange Bowl (Miami FL)
"09/23/06","Louisville","24","Home","Kansas St.","6",
"10/21/06","Louisville","28","Home","Syracuse","13",
"09/16/06","Louisville","31","Away","Miami (FL)","7",
"11/18/06","Louisville","31","Away","South Fla.","8",
"11/02/06","Louisville","44","Away","West Virginia","34",
"10/06/06","Louisville","44","Home","Middle Tenn.","17",Nashville TN
"12/02/06","Louisville","48","Away","Connecticut","17",
"11/25/06","Louisville","48","Home","Pittsburgh","24",
"09/03/06","Louisville","59","Away","Kentucky","28",
"09/09/06","Louisville","62","Home","Temple","0",
"10/21/06","Marshall","31","Home","UAB","24",
"10/28/06","Marshall","41","Away","Memphis","27",
"11/04/06","Marshall","42","Away","Tulane","21",
"11/18/06","Marshall","49","Away","UTEP","21",
"09/09/06","Marshall","54","Away","Hofstra","31",
"11/04/06","Maryland","13","Home","Clemson","12",
"09/23/06","Maryland","14","Away","FIU","10",
"11/11/06","Maryland","14","Away","Miami (FL)","13",
"09/09/06","Maryland","24","Away","Middle Tenn.","10",
"12/29/06","Maryland","24","Away","Purdue","7",Champs Sports Bowl (Orlando FL)
"10/21/06","Maryland","26","Away","North Carolina St.","20",
"10/28/06","Maryland","27","Away","Florida St.","24",
"09/02/06","Maryland","27","Away","William & Mary","14",
"10/14/06","Maryland","28","Home","Virginia","26",
"09/09/06","Memphis","33","Away","Chattanooga","14",
"11/25/06","Memphis","38","Home","UTEP","19",
"09/30/06","Miami (FL)","14","Away","Houston","13",
"10/21/06","Miami (FL)","20","Home","Duke","15",
"12/31/06","Miami (FL)","21","Away","Nevada","20",MPC Computers Bowl (Boise ID)
"10/07/06","Miami (FL)","27","Away","North Carolina","7",
"10/14/06","Miami (FL)","35","Away","FIU","0",
"09/09/06","Miami (FL)","51","Away","Florida A&M","10",
"10/15/06","Miami (OH)","38","Home","Buffalo","31",
"11/15/06","Miami (OH)","9","Home","Bowling Green St.","7",
"11/23/06","Miami Boston College","14",
"09/02/06","Michigan St.","27","Away","Idaho","17",
"09/16/06","Michigan St.","38","Home","Pittsburgh","23",
"10/21/06","Michigan St.","41","Home","Northwestern","38",
"09/09/06","Michigan St.","52","Away","Eastern Mich.","20",
"10/28/06","Michigan","17","Away","Northwestern","3",
"10/14/06","Michigan","17","Home","Penn St.","10",
"10/21/06","Michigan","20","Away","Iowa","6",
"09/02/06","Michigan","27","Away","Vanderbilt","7",
"09/23/06","Michigan","27","Away","Wisconsin","13",
"09/30/06","Michigan","28","Home","Minnesota","14",
"10/07/06","Michigan","31","Away","Michigan St.","13",
"11/04/06","Michigan","34","Away","Ball St.","26",
"11/11/06","Michigan","34","Home","Indiana","3",
"09/09/06","Michigan","41","Away","Central Michigan","17",
"09/16/06","Michigan","47","Home","Notre Dame","21",
"10/28/06","Middle Tenn.","34","Home","La.-Lafayette","20",
"11/04/06","Middle Tenn.","35","Away","Florida Atlantic","14",
"10/21/06","Middle Tenn.","35","Home","La.-Monroe","21",
"09/30/06","Middle Tenn.","35","Home","North Texas","0",
"11/11/06","Middle Tenn.","38","Home","Arkansas St.","10",
"09/14/06","Middle Tenn.","44","Away","Tennessee Tech","0",
"08/31/06","Middle Tenn.","7","Away","FIU","6",
"10/21/06","Minnesota","10","Away","North Dakota St.","9",
"11/11/06","Minnesota","31","Home","Michigan St.","18",
"11/18/06","Minnesota","34","Away","Iowa","24",
"08/31/06","Minnesota","44","Home","Kent St.","0",
"09/16/06","Minnesota","62","Away","Temple","0",
"11/04/06","Minnesota","63","Away","Indiana","26",
"09/23/06","Mississippi St.","16","Home","UAB","10",
"11/04/06","Mississippi St.","24","Home","Alabama","16",
"10/14/06","Mississippi St.","35","Away","Jacksonville St.","3",
"10/07/06","Ole Miss","17","Away","Vanderbilt","10",
"11/25/06","Ole Miss","20","Away","Mississippi St.","17",
"11/04/06","Ole Miss","27","Away","Northwestern St.","7",
"09/03/06","Ole Miss","28","Away","Memphis","25",
"09/16/06","Missouri","27","Home","New Mexico","17",
"09/30/06","Missouri","28","Away","Colorado","13",
"09/23/06","Missouri","31","Away","Ohio","6",
"09/09/06","Missouri","34","Away","Ole Miss","7",
"10/07/06","Missouri","38","Home","Texas Tech","21",
"10/21/06","Missouri","41","Away","Kansas St.","21",
"11/25/06","Missouri","42","Away","Kansas","17",
"09/02/06","Missouri","47","Away","Murray St.","7",
"09/02/06","Montana St.","19","Home","Colorado","10",
"09/09/06","Navy","21","Away","Massachusetts","20",
"10/07/06","Navy","24","Home","Air Force","17",
"12/02/06","Navy","26","Away","Army","14",Philadelphia PA
"09/02/06","Navy","28","Away","East Carolina","23",
"09/16/06","Navy","37","Home","Stanford","9",
"11/04/06","Navy","38","Home","Duke","13",
"09/30/06","Navy","41","Home","Connecticut","17",
"11/18/06","Navy","42","Away","Temple","6",
"11/11/06","Navy","49","Home","Eastern Mich.","21",
"10/14/06","Nebraska","21","Home","Kansas St.","3",
"10/07/06","Nebraska","28","Home","Iowa St.","14",
"11/11/06","Nebraska","28","Home","Texas A&M","27",
"11/04/06","Nebraska","34","Away","Missouri","20",
"11/24/06","Nebraska","37","Away","Colorado","14",
"09/30/06","Nebraska","39","Away","Kansas","32",
"09/02/06","Nebraska","49","Away","Louisiana Tech","10",
"09/09/06","Nebraska","56","Away","Nicholls St.","7",
"09/23/06","Nebraska","56","Away","Troy","0",
"10/21/06","Nevada","23","Away","San Jose St.","7",
"09/16/06","Nevada","28","Away","Colorado St.","10",
"09/22/06","Nevada","31","Away","Northwestern","21",
"09/30/06","Nevada","31","Home","UNLV","3",
"11/11/06","Nevada","42","Away","Utah St.","0",
"11/18/06","Nevada","42","Home","Louisiana Tech","0",
"11/04/06","Nevada","45","Home","Idaho","7",
"10/28/06","Nevada","48","Away","New Mexico St.","21",
"11/24/06","UNLV","42","Away","Air Force","39",
"09/02/06","UNLV","54","Away","Idaho St.","10",
"09/09/06","New Hampshire","34","Home","Northwestern","17",
"08/31/06","New Mexico St.","30","Away","Southeastern Louisiana","15",
"11/25/06","New Mexico St.","42","Home","Utah St.","20",
"09/16/06","New Mexico St.","48","Away","Texas Southern","14",
"12/02/06","New Mexico St.","50","Away","Louisiana Tech","23",
"10/28/06","New Mexico","20","Home","Colorado St.","19",
"09/23/06","New Mexico","26","Away","UTEP","13",
"10/19/06","New Mexico","34","Away","Utah","31",
"09/09/06","New Mexico","34","Home","New Mexico St.","28",
"10/14/06","New Mexico","39","Home","UNLV","36",
"11/25/06","New Mexico","41","Away","San Diego St.","14",
"09/23/06","North Carolina St.","17","Away","Boston College","15",
"09/02/06","North Carolina St.","23","Away","Appalachian St.","10",
"10/05/06","North Carolina St.","24","Away","Florida St.","20",
"11/18/06","North Carolina","23","Away","North Carolina St.","9",
"09/16/06","North Carolina","45","Away","Furman","42",
"11/25/06","North Carolina","45","Home","Duke","44",
"09/23/06","North Dakota St.","29","Home","Ball St.","24",
"11/11/06","North Texas","16","Home","La.-Lafayette","7",
"09/09/06","North Texas","24","Away","SMU","6",
"10/07/06","North Texas","25","Away","FIU","22",
"11/24/06","Northern Ill.","27","Home","Eastern Mich.","0",
"10/08/06","Northern Ill.","28","Home","Miami (OH)","25",
"09/16/06","Northern Ill.","31","Away","Buffalo","13",
"11/17/06","Northern Ill.","31","Away","Central Michigan","10",
"09/30/06","Northern Ill.","40","Home","Ball St.","28",
"10/21/06","Northern Ill.","43","Away","Temple","21",
"09/23/06","Northern Ill.","48","Away","Indiana St.","14",
"09/16/06","Northwestern","14","Away","Eastern Mich.","6",
"11/04/06","Northwestern","21","Home","Iowa","7",
"08/31/06","Northwestern","21","Home","Miami (OH)","3",
"11/18/06","Northwestern","27","Away","Illinois","16",
"09/02/06","Notre Dame","14","Home","Georgia Tech","10",
"10/21/06","Notre Dame","20","Away","UCLA","17",
"10/07/06","Notre Dame","31","Away","Stanford","10",
"09/30/06","Notre Dame","35","Away","Purdue","21",
"10/28/06","Notre Dame","38","Home","Navy","14",Baltimore MD
"11/11/06","Notre Dame","39","Home","Air Force","17",
"09/23/06","Notre Dame","40","Home","Michigan St.","37",
"11/18/06","Notre Dame","41","Away","Army","9",
"09/09/06","Notre Dame","41","Away","Penn St.","17",
"11/04/06","Notre Dame","45","Away","North Carolina","26",
"11/04/06","Ohio St.","17","Home","Illinois","10",
"09/09/06","Ohio St.","24","Home","Texas","7",
"09/23/06","Ohio St.","28","Away","Penn St.","6",
"10/07/06","Ohio St.","35","Away","Bowling Green St.","7",
"09/02/06","Ohio St.","35","Away","Northern Ill.","12",
"09/16/06","Ohio St.","37","Away","Cincinnati","7",
"09/30/06","Ohio St.","38","Home","Iowa","17",
"10/14/06","Ohio St.","38","Home","Michigan St.","7",
"11/18/06","Ohio St.","42","Away","Michigan","39",
"10/21/06","Ohio St.","44","Away","Indiana","3",
"10/28/06","Ohio St.","44","Away","Minnesota","0",
"11/11/06","Ohio St.","54","Home","Northwestern","10",
"11/04/06","Ohio","16","Home","Eastern Mich.","10",
"11/16/06","Ohio","17","Away","Akron","7",
"10/28/06","Ohio","17","Home","Kent St.","7",
"10/14/06","Ohio","20","Home","Illinois","17",
"10/07/06","Ohio","27","Away","Western Mich.","20",
"09/02/06","Ohio","29","Away","Tennessee-Martin","3",
"11/24/06","Ohio","34","Home","Miami (OH)","24",
"09/09/06","Ohio","35","Home","Northern Ill.","23",
"10/21/06","Ohio","42","Away","Buffalo","7",
"12/28/06","Oklahoma St.","34","Away","Alabama","31",Independence Bowl (Shreveport LA)
"09/09/06","Oklahoma St.","35","Home","Arkansas St.","7",Little Rock AR
"10/28/06","Oklahoma St.","41","Away","Nebraska","29",
"10/14/06","Oklahoma St.","42","Home","Kansas","32",
"09/16/06","Oklahoma St.","48","Away","Florida Atlantic","8",
"09/02/06","Oklahoma St.","52","Away","Missouri St.","10",
"11/11/06","Oklahoma St.","66","Away","Baylor","24",
"11/04/06","Oklahoma","17","Home","Texas A&M","16",
"12/02/06","Oklahoma","21","Away","Nebraska","7",Big 12 Championship (Kansas City MO)
"09/02/06","Oklahoma","24","Away","UAB","17",
"10/21/06","Oklahoma","24","Away","Colorado","3",
"10/28/06","Oklahoma","26","Home","Missouri","10",
"11/25/06","Oklahoma","27","Home","Oklahoma St.","21",
"10/14/06","Oklahoma","34","Away","Iowa St.","9",
"11/11/06","Oklahoma","34","Away","Texas Tech","24",
"11/18/06","Oklahoma","36","Home","Baylor","10",
"09/09/06","Oklahoma","37","Away","Washington","20",
"09/23/06","Oklahoma","59","Away","Middle Tenn.","0",
