Date,"Opponent1","Pts","Opponent1_Location","Opponent2","Pts",Notes
"09/18/04","Air Force","27","Home","UNLV","10",
"10/09/04","Air Force","28","Away","New Mexico","23",
"11/06/04","Air Force","31","Home","Army","22",
"09/11/04","Air Force","42","Away","Eastern Washington","20",
"11/20/04","Air Force","47","Away","Colorado St.","17",
"09/23/04","Akron","24","Home","Kent St.","19",
"10/16/04","Akron","26","Home","UCF","21",
"11/05/04","Akron","31","Away","Marshall","28",
"11/13/04","Akron","31","Home","Ohio","19",
"10/23/04","Akron","35","Away","Ball St.","23",
"10/09/04","Akron","44","Away","Buffalo","21",
"10/16/04","Alabama","27","Away","Southern Miss.","3",
"09/11/04","Alabama","28","Away","Ole Miss","7",
"11/06/04","Alabama","30","Away","Mississippi St.","14",
"10/09/04","Alabama","45","Home","Kentucky","17",
"09/04/04","Alabama","48","Away","Utah St.","17",
"09/18/04","Alabama","52","Away","Western Carolina","0",
"11/13/04","Alabama-Birmingham","20","Away","Houston","7",
"11/20/04","Alabama-Birmingham","20","Home","Army","14",
"10/09/04","Alabama-Birmingham","27","Home","Mississippi St.","13",
"10/02/04","Alabama-Birmingham","30","Home","Cincinnati","27",
"09/25/04","Alabama-Birmingham","35","Away","Memphis","28",
"10/15/04","Alabama-Birmingham","41","Away","TCU","25",
"09/04/04","Alabama-Birmingham","56","Away","Baylor","14",
"09/25/04","Arizona St.","27","Away","Oregon St.","14",
"12/31/04","Arizona St.","27","Away","Purdue","23",Sun Bowl (El Paso TX)
"10/02/04","Arizona St.","28","Home","Oregon","13",
"09/11/04","Arizona St.","30","Home","Northwestern","21",
"11/06/04","Arizona St.","34","Away","Stanford","31",
"09/02/04","Arizona St.","41","Away","UTEP","9",
"09/18/04","Arizona St.","44","Away","Iowa","7",
"11/13/04","Arizona St.","45","Away","Washington St.","28",
"10/23/04","Arizona St.","48","Away","UCLA","42",
"09/04/04","Arizona","21","Away","Northern Arizona","3",
"11/06/04","Arizona","23","Home","Washington","13",
"11/26/04","Arizona","34","Away","Arizona St.","27",
"10/16/04","Arkansas St.","13","Away","Troy","9",
"11/11/04","Arkansas St.","16","Away","Utah St.","7",
"09/25/04","Arkansas St.","28","Home","La.-Monroe","21",
"11/20/04","Arkansas","24","Home","Mississippi St.","21",
"09/25/04","Arkansas","27","Away","Alabama","10",
"11/13/04","Arkansas","35","Away","Ole Miss","3",
"09/18/04","Arkansas","49","Away","La.-Monroe","20",Little Rock AR
"09/04/04","Arkansas","63","Away","New Mexico St.","13",
"10/16/04","Army","42","Home","South Fla.","35",
"10/09/04","Army","48","Away","Cincinnati","29",
"09/18/04","Auburn","10","Away","LSU","9",
"01/03/05","Auburn","16","Away","Virginia Tech","13",Sugar Bowl (New Orleans LA)
"11/20/04","Auburn","21","Home","Alabama","13",
"11/13/04","Auburn","24","Away","Georgia","6",
"09/04/04","Auburn","31","Away","La.-Monroe","0",
"09/25/04","Auburn","33","Away","Citadel","3",
"10/02/04","Auburn","34","Home","Tennessee","10",
"10/30/04","Auburn","35","Home","Ole Miss","14",
"10/16/04","Auburn","38","Away","Arkansas","20",
"12/04/04","Auburn","38","Away","Tennessee","28",SEC Championship (Atlanta GA)
"10/23/04","Auburn","42","Away","Kentucky","10",
"09/11/04","Auburn","43","Home","Mississippi St.","14",
"10/09/04","Auburn","52","Away","Louisiana Tech","7",
"11/13/04","Ball St.","21","Away","UCF","17",
"09/25/04","Ball St.","41","Away","Western Mich.","14",
"09/11/04","Baylor","24","Away","Texas St.","17",
"10/30/04","Baylor","35","Away","Texas A&M","34",
"09/25/04","Baylor","37","Away","North Texas","14",
"11/20/04","Bethune-Cookman","58","Away","Florida A&M","52",Orlando FL
"09/24/04","Boise St.","28","Away","BYU","27",
"10/23/04","Boise St.","33","Away","Fresno St.","16",
"10/02/04","Boise St.","38","Away","SMU","20",
"10/16/04","Boise St.","45","Home","Tulsa","42",
"09/18/04","Boise St.","47","Home","UTEP","31",
"09/10/04","Boise St.","53","Away","Oregon St.","34",
"11/20/04","Boise St.","55","Away","Louisiana Tech","14",
"11/13/04","Boise St.","56","Home","San Jose St.","49",
"11/27/04","Boise St.","58","Home","Nevada","21",
"09/04/04","Boise St.","65","Away","Idaho","7",
"10/29/04","Boise St.","69","Away","Hawaii","3",
"09/02/04","Boston College","19","Home","Ball St.","11",
"09/11/04","Boston College","21","Away","Penn St.","7",
"11/06/04","Boston College","21","Away","Rutgers","10",
"10/23/04","Boston College","24","Home","Notre Dame","23",
"09/17/04","Boston College","27","Away","Connecticut","7",
"10/02/04","Boston College","29","Away","Massachusetts","7",
"11/20/04","Boston College","34","Home","Temple","17",
"11/13/04","Boston College","36","Home","West Virginia","17",
"12/30/04","Boston College","37","Away","North Carolina","24",Continental Tire Bowl (Charlotte NC)
"10/09/04","Bowling Green St.","38","Home","Central Michigan","14",
"10/30/04","Bowling Green St.","41","Away","Eastern Mich.","20",
"10/23/04","Bowling Green St.","41","Home","Ohio","16",
"09/11/04","Bowling Green St.","49","Away","Southeast Missouri St.","10",
"10/16/04","Bowling Green St.","51","Away","Ball St.","13",
"12/22/04","Bowling Green St.","52","Away","Memphis","35",GMAC Bowl (Mobile AL)
"11/06/04","Bowling Green St.","52","Away","Western Mich.","0",
"11/13/04","Bowling Green St.","56","Away","Marshall","35",
"10/02/04","Bowling Green St.","70","Home","Temple","16",
"09/04/04","BYU","20","Away","Notre Dame","17",
"10/16/04","BYU","24","Away","Wyoming","13",
"10/02/04","BYU","31","Home","Colorado St.","21",
"10/23/04","BYU","41","Home","Air Force","24",
"11/06/04","BYU","49","Away","San Diego St.","16",
