Date,"Opponent1","Pts","Opponent1_Location","Opponent2","Pts",Notes
"11/13/04","Buffalo","36","Away","Central Michigan","6",
"10/02/04","Buffalo","48","Away","UCF","20",
"12/04/04","California","26","Home","Southern Miss.","16",
"10/30/04","California","27","Away","Arizona St.","0",
"11/06/04","California","28","Away","Oregon","27",
"10/23/04","California","38","Home","Arizona","0",
"09/11/04","California","41","Away","New Mexico St.","14",
"11/20/04","California","41","Away","Stanford","6",
"11/13/04","California","42","Home","Washington","12",
"10/16/04","California","45","Away","UCLA","28",
"10/02/04","California","49","Home","Oregon St.","7",
"09/04/04","California","56","Home","Air Force","14",
"10/02/04","Central Michigan","24","Away","Kent St.","21",
"10/30/04","Central Michigan","24","Away","Western Mich.","21",
"11/20/04","Central Michigan","41","Away","Ball St.","40",
"09/18/04","Central Michigan","44","Away","Southeast Missouri St.","27",
"10/30/04","Cincinnati","21","Away","TCU","10",
"09/25/04","Cincinnati","24","Home","East Carolina","19",
"12/23/04","Cincinnati","32","Away","Marshall","14",Fort Worth Bowl (Fort Worth TX)
"09/11/04","Cincinnati","45","Away","Miami (OH)","26",
"11/20/04","Cincinnati","45","Away","South Fla.","23",
"10/23/04","Cincinnati","49","Away","Memphis","10",
"11/06/04","Cincinnati","52","Home","Southern Miss.","24",
"10/23/04","Clemson","10","Away","Maryland","7",
"11/06/04","Clemson","24","Home","Miami (FL)","17",
"10/30/04","Clemson","26","Away","North Carolina St.","20",
"11/20/04","Clemson","29","Away","South Carolina","7",
"10/16/04","Clemson","35","Away","Utah St.","6",
"09/04/04","Clemson","37","Away","Wake Forest","30",
"10/16/04","Colorado St.","21","Home","San Diego St.","17",
"10/22/04","Colorado St.","30","Away","Wyoming","7",
"09/25/04","Colorado St.","39","Away","Montana St.","14",
"11/13/04","Colorado St.","45","Away","UNLV","10",
"10/16/04","Colorado","19","Away","Iowa St.","14",
"09/11/04","Colorado","20","Home","Washington St.","12",Seattle WA
"11/26/04","Colorado","26","Home","Nebraska","20",
"09/04/04","Colorado","27","Away","Colorado St.","24",
"11/06/04","Colorado","30","Home","Kansas","21",
"12/29/04","Colorado","33","Away","UTEP","28",Houston Bowl (Houston TX)
"11/13/04","Colorado","38","Away","Kansas St.","31",
"09/18/04","Colorado","52","Away","North Texas","21",
"09/11/04","Connecticut","22","Away","Duke","20",
"11/20/04","Connecticut","29","Away","Buffalo","0",
"09/30/04","Connecticut","29","Away","Pittsburgh","17",
"12/27/04","Connecticut","39","Away","Toledo","10",Motor City Bowl (Detroit MI)
"09/25/04","Connecticut","40","Away","Army","3",
"11/25/04","Connecticut","41","Home","Rutgers","35",
"10/23/04","Connecticut","45","Away","Temple","31",
"09/04/04","Connecticut","52","Away","Murray St.","14",
"11/13/04","Duke","16","Away","Clemson","13",
"10/02/04","Duke","28","Away","Citadel","10",
"10/09/04","East Carolina","27","Away","Tulane","25",
"10/30/04","East Carolina","38","Away","Army","28",
"09/25/04","Eastern Illinois","31","Home","Eastern Mich.","28",
"10/09/04","Eastern Mich.","31","Home","Ball St.","24",
"10/16/04","Eastern Mich.","35","Home","Western Mich.","31",
"09/02/04","Eastern Mich.","37","Away","Buffalo","34",
"11/06/04","Eastern Mich.","61","Away","Central Michigan","58",Detroit MI
"09/25/04","Florida A&M","21","Away","Tennessee St.","15",Atlanta GA
"10/02/04","Florida A&M","35","Away","Virginia Union","10",
"10/23/04","Florida A&M","50","Away","Savannah St.","14",
"12/04/04","Florida Atlantic","17","Away","FIU","10",
"09/11/04","Florida Atlantic","20","Home","North Texas","13",
"10/09/04","Florida Atlantic","20","Home","Texas St.","13",
"09/18/04","Florida Atlantic","27","Home","Middle Tenn.","20",
"11/20/04","Florida Atlantic","28","Away","Illinois St.","0",
"09/04/04","Florida Atlantic","35","Home","Hawaii","28",
"10/30/04","Florida Atlantic","38","Home","Florida A&M","8",
"10/16/04","Florida Atlantic","39","Home","Northern Colorado","24",
"11/27/04","Florida Atlantic","49","Away","Edward Waters","15",
"09/11/04","FIU","22","Home","Youngstown St.","16",
"10/09/04","FIU","31","Home","Stephen F. Austin","24",
"11/27/04","FIU","40","Away","Florida A&M","23",
"11/11/04","Florida St.","17","Home","North Carolina St.","10",
"10/09/04","Florida St.","17","Home","Syracuse","13",
"10/23/04","Florida St.","20","Home","Wake Forest","17",
"11/06/04","Florida St.","29","Away","Duke","7",
"01/01/05","Florida St.","30","Away","West Virginia","18",Gator Bowl (Jacksonville FL)
"09/18/04","Florida St.","34","Away","Alabama-Birmingham","7",
"10/16/04","Florida St.","36","Away","Virginia","3",
"10/02/04","Florida St.","38","Away","North Carolina","16",
"09/25/04","Florida St.","41","Away","Clemson","22",
"09/25/04","Florida","20","Away","Kentucky","3",
"11/20/04","Florida","20","Home","Florida St.","13",
"11/06/04","Florida","34","Home","Vanderbilt","17",
"10/02/04","Florida","45","Away","Arkansas","30",
"11/13/04","Florida","48","Away","South Carolina","14",
"09/11/04","Florida","49","Away","Eastern Mich.","10",
"10/16/04","Florida","52","Away","Middle Tenn.","16",
"09/18/04","Fresno St.","27","Away","Portland St.","17",
"09/05/04","Fresno St.","35","Home","Washington","16",
"12/27/04","Fresno St.","37","Away","Virginia","34",MPC Computers Bowl (Boise ID)
"10/30/04","Fresno St.","42","Away","SMU","0",
"09/11/04","Fresno St.","45","Home","Kansas St.","21",
"11/06/04","Fresno St.","52","Home","Rice","21",
"11/20/04","Fresno St.","54","Away","Nevada","17",
"11/27/04","Fresno St.","62","Home","San Jose St.","28",
"11/12/04","Fresno St.","70","Away","Hawaii","14",
"11/13/04","Georgia Southern","53","Home","FIU","32",
"10/09/04","Georgia Tech","20","Home","Maryland","7",
"10/16/04","Georgia Tech","24","Away","Duke","7",
"11/06/04","Georgia Tech","24","Home","North Carolina St.","14",
"09/04/04","Georgia Tech","28","Away","Samford","7",
"09/11/04","Georgia Tech","28","Home","Clemson","24",
"11/13/04","Georgia Tech","30","Away","Connecticut","10",
"12/21/04","Georgia Tech","51","Away","Syracuse","14",Champs Sports Bowl (Orlando FL)
"09/18/04","Georgia","13","Away","Marshall","3",
"11/27/04","Georgia","19","Away","Georgia Tech","13",
"10/23/04","Georgia","20","Home","Arkansas","14",
"09/11/04","Georgia","20","Home","South Carolina","16",
"01/01/05","Georgia","24","Away","Wisconsin","21",Outback Bowl (Tampa FL)
"10/30/04","Georgia","31","Away","Florida","24",Jacksonville FL
"10/16/04","Georgia","33","Away","Vanderbilt","3",
"10/02/04","Georgia","45","Away","LSU","16",
"09/04/04","Georgia","48","Away","Georgia Southern","28",
"11/06/04","Georgia","62","Home","Kentucky","17",
"11/06/04","Hawaii","34","Away","Louisiana Tech","23",
"12/04/04","Hawaii","41","Away","Michigan St.","38",
"10/02/04","Hawaii","44","Away","Tulsa","16",
"10/23/04","Hawaii","46","Away","San Jose St.","28",
"10/09/04","Hawaii","48","Away","Nevada","26",
"11/27/04","Hawaii","49","Away","Northwestern","41",
"11/20/04","Hawaii","52","Away","Idaho","21",
"12/24/04","Hawaii","59","Away","Alabama-Birmingham","40",Hawaii Bowl (Honolulu HI)
"10/30/04","Houston","24","Away","Tulane","3",
"11/06/04","Houston","34","Away","East Carolina","24",
"09/18/04","Houston","35","Away","Army","21",
"10/16/04","Idaho","38","Away","La.-Lafayette","25",
"11/06/04","Idaho","45","Away","Arkansas St.","31",Pullman WA
"10/02/04","Idaho","45","Home","Eastern Mich.","41",
"11/06/04","Illinois","26","Away","Indiana","22",
"09/18/04","Illinois","30","Away","Western Mich.","27",
"09/04/04","Illinois","52","Away","Florida A&M","13",
"10/30/04","Indiana","30","Away","Minnesota","21",
"09/11/04","Indiana","30","Home","Oregon","24",
"09/04/04","Indiana","41","Away","Central Michigan","10",
"10/30/04","Iowa St.","13","Away","Kansas","7",
"12/28/04","Iowa St.","17","Away","Miami (OH)","13",Independence Bowl (Shreveport LA)
"09/04/04","Iowa St.","23","Away","Northern Iowa","0",
"10/23/04","Iowa St.","26","Home","Baylor","25",
"11/06/04","Iowa St.","34","Away","Nebraska","27",
"11/20/04","Iowa St.","37","Home","Kansas St.","23",
"09/18/04","Iowa St.","48","Away","Northern Ill.","41",
"09/11/04","Iowa","17","Away","Iowa St.","10",
"11/06/04","Iowa","23","Away","Purdue","21",
"10/30/04","Iowa","23","Home","Illinois","13",
"11/13/04","Iowa","29","Home","Minnesota","27",
"01/01/05","Iowa","30","Away","LSU","25",Capital One Bowl (Orlando FL)
"11/20/04","Iowa","30","Away","Wisconsin","7",
"10/16/04","Iowa","33","Away","Ohio St.","7",
"10/02/04","Iowa","38","Away","Michigan St.","16",
"09/04/04","Iowa","39","Away","Kent St.","7",
"10/23/04","Iowa","6","Home","Penn St.","4",
"09/04/04","Kansas St.","27","Away","Western Ky.","13",
"11/06/04","Kansas St.","35","Home","Missouri","24",
"09/18/04","Kansas St.","40","Away","La.-Lafayette","20",
"10/23/04","Kansas St.","45","Away","Nebraska","21",
"09/04/04","Kansas","21","Away","Tulsa","3",
"10/09/04","Kansas","31","Away","Kansas St.","28",
"11/20/04","Kansas","31","Home","Missouri","14",
"09/11/04","Kansas","63","Away","Toledo","14",
"11/06/04","Kent St.","33","Home","Buffalo","7",
"09/11/04","Kent St.","38","Away","Liberty","10",
"11/23/04","Kent St.","41","Home","UCF","24",
"10/30/04","Kent St.","42","Away","Ohio","16",
"11/13/04","Kent St.","69","Away","Eastern Mich.","17",
"11/13/04","Kentucky","14","Away","Vanderbilt","13",
"09/18/04","Kentucky","51","Away","Indiana","32",
"09/04/04","LSU","22","Away","Oregon St.","21",
"10/23/04","LSU","24","Away","Troy","20",
"10/30/04","LSU","24","Away","Vanderbilt","7",
"10/09/04","LSU","24","Home","Florida","21",
"11/13/04","LSU","26","Away","Alabama","10",
"11/20/04","LSU","27","Away","Ole Miss","24",
"11/26/04","LSU","43","Home","Arkansas","14",Little Rock AR
"09/25/04","LSU","51","Away","Mississippi St.","0",
"09/11/04","LSU","53","Away","Arkansas St.","3",
"09/11/04","Louisiana Tech","24","Away","La.-Lafayette","20",
"10/02/04","Louisiana Tech","28","Away","Fresno St.","21",
"09/06/04","Louisiana Tech","38","Away","Nevada","21",
"11/13/04","Louisiana Tech","38","Away","Tulsa","21",Shreveport LA
"10/16/04","Louisiana Tech","41","Home","SMU","10",
"11/29/04","Louisiana Tech","51","Home","Rice","14",Houston TX
"09/04/04","La.-Lafayette","14","Away","Northwestern St.","7",
"09/25/04","La.-Lafayette","24","Away","Middle Tenn.","17",
"10/23/04","La.-Lafayette","27","Away","Arkansas St.","24",
"10/02/04","La.-Lafayette","43","Home","FIU","34",
"11/20/04","La.-Monroe","13","Away","La.-Lafayette","10",
"10/09/04","La.-Monroe","16","Home","Idaho","14",
"10/23/04","La.-Monroe","17","Home","Florida Atlantic","13",
"10/16/04","La.-Monroe","28","Away","FIU","20",
"11/06/04","La.-Monroe","32","Away","Utah St.","25",
"09/05/04","Louisville","28","Away","Kentucky","0",
"09/25/04","Louisville","34","Home","North Carolina","0",
"10/22/04","Louisville","41","Away","South Fla.","9",
"12/31/04","Louisville","44","Away","Boise St.","40",Liberty Bowl (Memphis TN)
"09/11/04","Louisville","52","Home","Army","21",
"11/10/04","Louisville","55","Away","TCU","28",
"12/04/04","Louisville","55","Home","Tulane","7",
"11/04/04","Louisville","56","Home","Memphis","49",
"10/02/04","Louisville","59","Away","East Carolina","7",
"11/20/04","Louisville","65","Home","Houston","27",
"11/27/04","Louisville","70","Away","Cincinnati","7",
"09/18/04","Maine","9","Home","Mississippi St.","7",
"10/09/04","Marshall","16","Home","Ohio","13",
"10/30/04","Marshall","20","Away","UCF","3",
"10/16/04","Marshall","27","Home","Kent St.","17",
"11/20/04","Marshall","31","Away","Western Mich.","21",
"09/29/04","Marshall","33","Away","Miami (OH)","25",
"10/23/04","Marshall","48","Away","Buffalo","14",
"11/27/04","Maryland","13","Away","Wake Forest","7",
"10/30/04","Maryland","20","Away","Florida St.","17",
"09/04/04","Maryland","23","Away","Northern Ill.","20",
"09/11/04","Maryland","45","Away","Temple","22",
"09/25/04","Maryland","55","Home","Duke","21",
"10/23/04","McNeese St.","30","Home","FIU","27",
"09/04/04","Memphis","20","Home","Ole Miss","13",
"11/12/04","Memphis","30","Away","Southern Miss.","26",
"11/27/04","Memphis","31","Home","South Fla.","15",
"11/20/04","Memphis","38","Home","East Carolina","35",
"10/02/04","Memphis","41","Away","Houston","14",
"09/18/04","Memphis","47","Home","Arkansas St.","35",
"10/16/04","Memphis","49","Away","Tulane","24",
"09/11/04","Memphis","52","Away","Chattanooga","21",
"10/02/04","Miami (FL)","27","Home","Georgia Tech","3",
"09/23/04","Miami (FL)","38","Home","Houston","13",
"10/23/04","Miami (FL)","45","Home","North Carolina St.","31",
"09/18/04","Miami (FL)","48","Away","Louisiana Tech","0",
"11/20/04","Miami (FL)","52","Away","Wake Forest","7",
"11/02/04","Miami (OH)","23","Away","Toledo","16",
"10/16/04","Miami (OH)","25","Home","Buffalo","7",
"11/20/04","Miami (OH)","37","Home","Akron","27",
"09/18/04","Miami (OH)","40","Away","Ohio","20",
"11/13/04","Miami (OH)","42","Home","Western Mich.","21",
"10/23/04","Miami (OH)","43","Away","UCF","7",
"10/09/04","Miami (OH)","47","Away","Kent St.","27",
"08/28/04","Miami (OH)","49","Away","Indiana St.","0",
"09/10/04","Miami Florida St.","10",
"12/31/04","Miami Florida","10",Peach Bowl (Atlanta GA)
"10/14/04","Miami Louisville","38",
"11/13/04","Miami Virginia","21",
"09/11/04","Michigan St.","24","Away","Central Michigan","7",
"09/25/04","Michigan St.","30","Home","Indiana","20",
"10/09/04","Michigan St.","38","Away","Illinois","25",
"11/13/04","Michigan St.","49","Away","Wisconsin","14",
"10/16/04","Michigan St.","51","Away","Minnesota","17",
"10/23/04","Michigan","16","Home","Purdue","14",
"09/18/04","Michigan","24","Away","San Diego St.","21",
"10/09/04","Michigan","27","Away","Minnesota","24",
"09/25/04","Michigan","30","Away","Iowa","17",
"10/16/04","Michigan","30","Home","Illinois","19",
"10/02/04","Michigan","35","Home","Indiana","14",
"11/13/04","Michigan","42","Away","Northwestern","20",
"09/04/04","Michigan","43","Away","Miami (OH)","10",
"10/30/04","Michigan","45","Away","Michigan St.","37",
"10/30/04","Middle Tenn.","21","Away","Utah St.","0",
"09/11/04","Middle Tenn.","31","Home","Akron","24",
"10/23/04","Middle Tenn.","34","Away","Idaho","14",
"11/13/04","Middle Tenn.","37","Away","La.-Monroe","24",
"10/09/04","Middle Tenn.","45","Away","Arkansas St.","17",
"10/02/04","Minnesota","16","Away","Penn St.","7",
"12/31/04","Minnesota","20","Away","Alabama","16",Music City Bowl (Nashville TN)
"09/18/04","Minnesota","34","Home","Colorado St.","16",
"09/11/04","Minnesota","37","Away","Illinois St.","21",
"09/25/04","Minnesota","43","Away","Northwestern","17",
"10/23/04","Minnesota","45","Away","Illinois","0",
"09/04/04","Minnesota","63","Away","Toledo","21",
"10/30/04","Mississippi St.","22","Away","Kentucky","7",
"09/04/04","Mississippi St.","28","Away","Tulane","7",
"10/23/04","Mississippi St.","38","Away","Florida","31",
"11/27/04","Ole Miss","20","Away","Mississippi St.","3",
"09/18/04","Ole Miss","26","Away","Vanderbilt","23",
"10/02/04","Ole Miss","28","Away","Arkansas St.","21",
"10/09/04","Ole Miss","31","Home","South Carolina","28",
"10/02/04","Missouri","17","Away","Colorado","9",
"11/27/04","Missouri","17","Home","Iowa St.","14",
"10/09/04","Missouri","30","Home","Baylor","10",
"09/18/04","Missouri","48","Away","Ball St.","0",
"09/04/04","Missouri","52","Away","Arkansas St.","20",
"10/23/04","Navy","14","Away","Rice","13",
"09/30/04","Navy","24","Home","Air Force","21",
"09/04/04","Navy","27","Away","Duke","12",
"09/11/04","Navy","28","Away","Northeastern","24",
"09/25/04","Navy","29","Away","Vanderbilt","26",
"09/18/04","Navy","29","Home","Tulsa","0",
"10/30/04","Navy","34","Away","Delaware","20",
"12/30/04","Navy","34","Away","New Mexico","19",Emerald Bowl (San Francisco CA)
"12/04/04","Navy","42","Away","Army","13",Philadelphia PA
"11/20/04","Navy","54","Away","Rutgers","21",
"10/02/04","Nebraska","14","Away","Kansas","8",
"10/30/04","Nebraska","24","Away","Missouri","3",
"09/18/04","Nebraska","24","Home","Pittsburgh","17",
"09/04/04","Nebraska","56","Away","Western Illinois","17",
"10/16/04","Nebraska","59","Away","Baylor","27",
"10/16/04","Nevada","35","Away","Rice","10",
"09/18/04","Nevada","38","Away","Buffalo","13",
"11/06/04","Nevada","42","Away","San Jose St.","24",
"10/23/04","Nevada","54","Away","Tulsa","48",
"09/11/04","Nevada","59","Away","Sacramento St.","7",
"10/08/04","UNLV","24","Home","BYU","20",
"10/02/04","UNLV","48","Away","Nevada","13",
"09/11/04","New Hampshire","35","Home","Rutgers","24",
"09/18/04","New Mexico St.","22","Away","Troy","18",
"10/09/04","New Mexico St.","35","Away","La.-Lafayette","32",
"11/13/04","New Mexico St.","35","Home","Florida Atlantic","7",
"11/06/04","New Mexico St.","44","Away","Middle Tenn.","10",
"10/30/04","New Mexico St.","56","Away","FIU","31",
"11/20/04","New Mexico","16","Away","Wyoming","9",
"10/23/04","New Mexico","19","Away","San Diego St.","9",
"11/13/04","New Mexico","21","Home","BYU","14",
"10/16/04","New Mexico","24","Home","UNLV","20",
"10/30/04","New Mexico","26","Home","Colorado St.","17",
"09/11/04","New Mexico","27","Away","Texas Tech","24",
"09/25/04","New Mexico","38","Home","New Mexico St.","3",
"10/09/04","Nicholls St.","42","Home","Florida A&M","25",
"10/16/04","North Carolina St.","13","Home","Maryland","3",
"09/25/04","North Carolina St.","17","Home","Virginia Tech","16",
"10/02/04","North Carolina St.","27","Away","Wake Forest","21",
"09/04/04","North Carolina St.","42","Away","Richmond","0",
"11/27/04","North Carolina St.","52","Away","East Carolina","14",Charlotte NC
"10/09/04","North Carolina","30","Away","North Carolina St.","24",
"10/30/04","North Carolina","31","Away","Miami (FL)","28",
"11/13/04","North Carolina","31","Home","Wake Forest","24",
"09/18/04","North Carolina","34","Away","Georgia Tech","13",
"11/20/04","North Carolina","40","Home","Duke","17",
"09/04/04","North Carolina","49","Away","William & Mary","38",
"11/05/04","North Texas","27","Home","La.-Lafayette","17",
"10/02/04","North Texas","30","Away","Middle Tenn.","21",
"11/18/04","North Texas","31","Home","Arkansas St.","7",
"10/09/04","North Texas","31","Home","Utah St.","23",
"10/23/04","North Texas","36","Away","New Mexico St.","26",
"10/30/04","North Texas","45","Away","La.-Monroe","30",
"11/13/04","North Texas","51","Away","Idaho","29",
"09/11/04","Northern Ill.","23","Away","Southern Illinois","22",
"10/09/04","Northern Ill.","30","Home","UCF","28",
"09/24/04","Northern Ill.","34","Away","Bowling Green St.","17",
"12/30/04","Northern Ill.","34","Away","Troy","21",Silicon Valley Bowl (San Jose CA)
"11/20/04","Northern Ill.","34","Home","Eastern Mich.","16",
"10/30/04","Northern Ill.","38","Home","Ball St.","31",
"10/16/04","Northern Ill.","42","Away","Central Michigan","10",
"10/02/04","Northern Ill.","49","Away","Akron","19",
"10/23/04","Northern Ill.","59","Home","Western Mich.","38",
"10/30/04","Northwestern","13","Away","Purdue","10",
"11/06/04","Northwestern","14","Home","Penn St.","7",
"09/18/04","Northwestern","20","Away","Kansas","17",
"11/20/04","Northwestern","28","Away","Illinois","21",
"10/09/04","Northwestern","31","Away","Indiana","24",
"10/02/04","Northwestern","33","Away","Ohio St.","27",
"11/06/04","Notre Dame","17","Home","Tennessee","13",
"10/09/04","Notre Dame","23","Away","Stanford","15",
"10/16/04","Notre Dame","27","Away","Navy","9",East Rutherford NJ
"09/11/04","Notre Dame","28","Away","Michigan","20",
"09/18/04","Notre Dame","31","Home","Michigan St.","24",
"09/25/04","Notre Dame","38","Away","Washington","3",
"10/30/04","Ohio St.","21","Away","Penn St.","10",
"09/18/04","Ohio St.","22","Home","North Carolina St.","14",
"09/11/04","Ohio St.","24","Away","Marshall","21",
"09/04/04","Ohio St.","27","Away","Cincinnati","6",
"10/23/04","Ohio St.","30","Away","Indiana","7",
"11/06/04","Ohio St.","32","Home","Michigan St.","19",
"12/29/04","Ohio St.","33","Away","Oklahoma St.","7",Alamo Bowl (San Antonio TX)
"11/20/04","Ohio St.","37","Away","Michigan","21",
"11/06/04","Ohio","17","Home","UCF","16",
"10/02/04","Ohio","28","Home","Kentucky","16",
"09/25/04","Ohio","34","Away","Buffalo","0",
"09/04/04","Ohio","42","Away","Virginia Military Institute","14",
"10/23/04","Oklahoma St.","20","Home","Missouri","17",
"09/04/04","Oklahoma St.","31","Home","UCLA","20",
"10/02/04","Oklahoma St.","36","Away","Iowa St.","7",
"09/11/04","Oklahoma St.","38","Away","Tulsa","21",
"10/09/04","Oklahoma St.","42","Home","Colorado","14",
"11/13/04","Oklahoma St.","49","Away","Baylor","21",
"09/18/04","Oklahoma St.","59","Away","SMU","7",
"10/09/04","Oklahoma","12","Away","Texas","0",Dallas TX
"10/02/04","Oklahoma","28","Away","Texas Tech","13",
"11/13/04","Oklahoma","30","Away","Nebraska","3",
"09/18/04","Oklahoma","31","Away","Oregon","7",
"10/16/04","Oklahoma","31","Home","Kansas St.","21",
"11/20/04","Oklahoma","35","Home","Baylor","0",
"10/30/04","Oklahoma","38","Home","Oklahoma St.","35",
"09/04/04","Oklahoma","40","Away","Bowling Green St.","24",
"10/23/04","Oklahoma","41","Away","Kansas","10",
"12/04/04","Oklahoma","42","Away","Colorado","3",Big 12 Championship (Kansas City MO)
"11/06/04","Oklahoma","42","Home","Texas A&M","35",
"09/11/04","Oklahoma","63","Away","Houston","13",
"09/18/04","Oregon St.","17","Away","New Mexico","7",
"11/13/04","Oregon St.","24","Home","Stanford","19",
"10/30/04","Oregon St.","28","Home","Arizona","14",
"10/16/04","Oregon St.","29","Home","Washington","14",
"12/28/04","Oregon St.","38","Away","Notre Dame","21",Insight Bowl (Phoenix AZ)
"10/23/04","Oregon St.","38","Away","Washington St.","19",
"11/20/04","Oregon St.","50","Away","Oregon","21",
"10/23/04","Oregon","16","Home","Stanford","13",
"10/16/04","Oregon","28","Away","Arizona","14",
"10/30/04","Oregon","31","Away","Washington","6",
