"Institution ID","Institution","Game Date","Opponent ID","Opponent Name","Location"
"5","Akron","09/06/03","796","Wisconsin","Away"
"5","Akron","11/08/03","129","Central Mich.","Away"
"5","Akron","11/01/03","388","Marshall","Away"
"5","Akron","11/15/03","519","Ohio","Home"
"5","Akron","08/28/03","331","Kent St.","Home"
"5","Akron","10/25/03","164","Connecticut","Away"
"5","Akron","09/13/03","204","Eastern Mich.","Home"
"5","Akron","10/11/03","90","Cal Poly","Home"
"5","Akron","09/20/03","290","Howard","Home"
"5","Akron","10/18/03","128","UCF","Home"
"5","Akron","10/04/03","414","Miami (Ohio)","Away"
"5","Akron","09/27/03","86","Buffalo","Away"
"8","Alabama","10/04/03","257","Georgia","Away"
"8","Alabama","09/13/03","334","Kentucky","Home"
"8","Alabama","11/15/03","365","LSU","Home"
"8","Alabama","09/20/03","503","Northern Ill.","Home"
"8","Alabama","11/08/03","430","Mississippi St.","Away"
"8","Alabama","10/18/03","433","Mississippi","Away"
"8","Alabama","10/25/03","694","Tennessee","Home"
"8","Alabama","08/30/03","651","South Fla.","Neutral Site"
"8","Alabama","11/29/03","277","Hawaii","Away"
"8","Alabama","10/11/03","664","Southern Miss.","Home"
"8","Alabama","09/06/03","522","Oklahoma","Home"
"8","Alabama","11/22/03","37","Auburn","Away"
"8","Alabama","09/27/03","31","Arkansas","Home"
"9","UAB","09/13/03","716","Troy St.","Home"
"9","UAB","11/08/03","718","Tulane","Home"
"9","UAB","08/30/03","51","Baylor","Away"
"9","UAB","10/11/03","140","Cincinnati","Home"
"9","UAB","11/22/03","651","South Fla.","Away"
"9","UAB","09/04/03","664","Southern Miss.","Home"
"9","UAB","11/29/03","288","Houston","Away"
"9","UAB","10/18/03","698","TCU","Away"
"9","UAB","11/01/03","725","Army","Home"
"9","UAB","10/04/03","404","Memphis","Away"
"9","UAB","09/20/03","648","South Carolina","Away"
"9","UAB","10/25/03","257","Georgia","Away"
"28","Arizona St.","09/06/03","501","Northern Ariz.","Home"
"28","Arizona St.","10/18/03","457","North Carolina","Away"
"28","Arizona St.","11/01/03","107","California","Home"
"28","Arizona St.","11/15/03","754","Washington St.","Away"
"28","Arizona St.","10/11/03","529","Oregon","Home"
"28","Arizona St.","10/25/03","110","UCLA","Away"
"28","Arizona St.","11/28/03","29","Arizona","Home"
"28","Arizona St.","09/13/03","731","Utah St.","Home"
"28","Arizona St.","09/20/03","312","Iowa","Away"
"28","Arizona St.","09/27/03","528","Oregon St.","Away"
"28","Arizona St.","10/04/03","657","Southern California","Home"
"28","Arizona St.","11/08/03","674","Stanford","Away"
"29","Arizona","09/20/03","559","Purdue","Away"
"29","Arizona","11/28/03","28","Arizona St.","Away"
"29","Arizona","11/01/03","528","Oregon St.","Away"
"29","Arizona","11/15/03","657","Southern California","Home"
"29","Arizona","09/27/03","698","TCU","Home"
"29","Arizona","08/30/03","704","UTEP","Home"
"29","Arizona","10/11/03","110","UCLA","Home"
"29","Arizona","09/06/03","365","LSU","Home"
"29","Arizona","10/25/03","107","California","Away"
"29","Arizona","09/13/03","529","Oregon","Home"
"29","Arizona","10/04/03","754","Washington St.","Away"
"29","Arizona","11/08/03","756","Washington","Home"
"30","Arkansas St.","11/20/03","419","Middle Tenn. St.","Home"
"30","Arkansas St.","11/15/03","497","North Texas","Away"
"30","Arkansas St.","10/04/03","498","La.-Monroe","Home"
"30","Arkansas St.","09/06/03","695","Tenn.-Martin","Home"
"30","Arkansas St.","08/30/03","697","Texas A&M","Away"
"30","Arkansas St.","10/11/03","433","Mississippi","Away"
"30","Arkansas St.","09/27/03","404","Memphis","Away"
"30","Arkansas St.","11/01/03","472","New Mexico St.","Away"
"30","Arkansas St.","09/20/03","719","Tulsa","Away"
"30","Arkansas St.","10/25/03","731","Utah St.","Away"
"30","Arkansas St.","11/08/03","295","Idaho","Home"
"30","Arkansas St.","09/13/03","654","Southeast Mo. St.","Home"
"31","Arkansas","09/06/03","719","Tulsa","Home"
"31","Arkansas","10/11/03","37","Auburn","Home"
"31","Arkansas","12/31/03","434","Missouri","Away"
"31","Arkansas","11/15/03","472","New Mexico St.","Home"
"31","Arkansas","11/06/03","648","South Carolina","Home"
"31","Arkansas","10/25/03","433","Mississippi","Away"
"31","Arkansas","11/22/03","430","Mississippi St.","Home"
"31","Arkansas","11/28/03","365","LSU","Away"
"31","Arkansas","09/13/03","703","Texas","Away"
"31","Arkansas","09/27/03","8","Alabama","Away"
"31","Arkansas","10/18/03","235","Florida","Home"
"31","Arkansas","11/01/03","334","Kentucky","Away"
"31","Arkansas","09/20/03","497","North Texas","Home"
"37","Auburn","11/15/03","257","Georgia","Away"
"37","Auburn","09/27/03","772","Western Ky.","Home"
"37","Auburn","11/01/03","498","La.-Monroe","Home"
"37","Auburn","11/08/03","433","Mississippi","Home"
"37","Auburn","11/22/03","8","Alabama","Home"
"37","Auburn","10/25/03","365","LSU","Away"
"37","Auburn","09/06/03","255","Georgia Tech","Away"
"37","Auburn","10/18/03","430","Mississippi St.","Home"
"37","Auburn","10/04/03","694","Tennessee","Home"
"37","Auburn","09/13/03","736","Vanderbilt","Away"
"37","Auburn","08/30/03","657","Southern California","Home"
"37","Auburn","10/11/03","31","Arkansas","Away"
"37","Auburn","12/31/03","796","Wisconsin","Neutral Site"
"47","Ball St.","11/08/03","774","Western Mich.","Away"
"47","Ball St.","11/22/03","71","Bowling Green","Home"
"47","Ball St.","09/20/03","129","Central Mich.","Home"
"47","Ball St.","09/13/03","545","Pittsburgh","Away"
"47","Ball St.","09/27/03","67","Boston College","Away"
"47","Ball St.","09/06/03","434","Missouri","Home"
"47","Ball St.","10/04/03","331","Kent St.","Away"
"47","Ball St.","10/18/03","414","Miami (Ohio)","Home"
"47","Ball St.","11/01/03","503","Northern Ill.","Away"
"47","Ball St.","08/28/03","305","Indiana St.","Home"
"47","Ball St.","11/15/03","204","Eastern Mich.","Away"
"47","Ball St.","10/25/03","709","Toledo","Home"
"51","Baylor","10/18/03","328","Kansas","Away"
"51","Baylor","10/11/03","697","Texas A&M","Away"
"51","Baylor","10/25/03","703","Texas","Home"
"51","Baylor","09/06/03","497","North Texas","Away"
"51","Baylor","11/01/03","327","Kansas St.","Away"
"51","Baylor","11/08/03","700","Texas Tech","Home"
"51","Baylor","10/04/03","157","Colorado","Home"
"51","Baylor","09/13/03","663","Southern Methodist","Home"
"51","Baylor","11/22/03","521","Oklahoma St.","Home"
"51","Baylor","08/30/03","9","UAB","Home"
"51","Baylor","11/15/03","522","Oklahoma","Away"
"51","Baylor","09/20/03","624","Sam Houston St.","Home"
"66","Boise St.","10/11/03","719","Tulsa","Home"
"66","Boise St.","10/04/03","366","Louisiana Tech","Away"
"66","Boise St.","09/20/03","528","Oregon St.","Away"
"66","Boise St.","09/06/03","294","Idaho St.","Home"
"66","Boise St.","09/13/03","295","Idaho","Away"
"66","Boise St.","12/06/03","277","Hawaii","Away"
"66","Boise St.","10/18/03","663","Southern Methodist","Away"
"66","Boise St.","10/30/03","77","Brigham Young","Away"
"66","Boise St.","10/25/03","630","San Jose St.","Home"
"66","Boise St.","11/29/03","466","Nevada","Home"
"66","Boise St.","11/21/03","96","Fresno St.","Away"
"66","Boise St.","12/23/03","698","TCU","Neutral Site"
