Date,"Opponent1","Pts","Opponent1_Location","Opponent2","Pts",Notes
"11/12/05","Purdue","37","Away","Illinois","3",
"11/19/05","Purdue","41","Home","Indiana","14",
"09/10/05","Purdue","49","Away","Akron","24",
"11/12/05","Rice","42","Away","Tulane","34",
"09/17/05","Rutgers","17","Home","Buffalo","3",
"10/22/05","Rutgers","26","Home","Connecticut","24",
"10/29/05","Rutgers","31","Away","Navy","21",
"10/15/05","Rutgers","31","Home","Syracuse","9",
"09/30/05","Rutgers","37","Away","Pittsburgh","29",
"09/10/05","Rutgers","38","Away","Villanova","6",
"11/26/05","Rutgers","44","Away","Cincinnati","9",
"10/15/05","San Diego St.","28","Home","Utah","19",
"11/12/05","San Diego St.","30","Home","Colorado St.","10",
"10/1/05","San Diego St.","31","Away","BYU","10",
"11/19/05","San Diego St.","34","Away","Wyoming","21",
"09/24/05","San Diego St.","52","Away","San Jose St.","21",
"11/26/05","San Jose St.","26","Away","Idaho","18",
"11/19/05","San Jose St.","27","Away","New Mexico St.","10",
"09/03/05","San Jose St.","35","Away","Eastern Washington","24",
"11/05/05","South Carolina","14","Home","Arkansas","10",
"10/29/05","South Carolina","16","Home","Tennessee","15",
"09/01/05","South Carolina","24","Away","UCF","15",
"11/12/05","South Carolina","30","Away","Florida","22",
"10/22/05","South Carolina","35","Away","Vanderbilt","28",
"10/8/05","South Carolina","44","Away","Kentucky","16",
"09/24/05","South Carolina","45","Away","Troy","20",
"11/12/05","South Fla.","27","Home","Syracuse","0",
"09/17/05","South Fla.","31","Away","UCF","14",
"11/19/05","South Fla.","31","Away","Cincinnati","16",
"09/10/05","South Fla.","37","Away","Florida A&M","3",
"09/24/05","South Fla.","45","Away","Louisville","14",
"11/05/05","South Fla.","45","Home","Rutgers","31",
"10/15/05","Southern California","34","Home","Notre Dame","31",
"11/12/05","Southern California","35","Home","California","10",
"10/1/05","Southern California","38","Home","Arizona St.","28",
"10/8/05","Southern California","42","Away","Arizona","21",
"09/24/05","Southern California","45","Home","Oregon","13",
"11/19/05","Southern California","50","Away","Fresno St.","42",
"11/05/05","Southern California","51","Away","Stanford","21",
"10/22/05","Southern California","51","Home","Washington","24",
"10/29/05","Southern California","55","Away","Washington St.","13",
"09/03/05","Southern California","63","Home","Hawaii","17",
"12/03/05","Southern California","66","Away","UCLA","19",
"09/17/05","Southern California","70","Away","Arkansas","17",
"09/10/05","SMU","21","Away","TCU","10",
"11/05/05","SMU","27","Away","Rice","7",
"10/8/05","SMU","28","Home","UAB","27",
"11/19/05","SMU","29","Home","Houston","24",
"11/26/05","SMU","40","Away","UTEP","27",
"11/26/05","Southern Miss.","26","Away","Tulane","7",
"11/08/05","Southern Miss.","27","Home","Marshall","24",
"12/20/05","Southern Miss.","31","Away","Arkansas St.","19",New Orleans Bowl (Lafayette LA)
"10/1/05","Southern Miss.","33","Home","East Carolina","7",
"10/21/05","Southern Miss.","37","Home","UAB","28",
"09/17/05","Southern Miss.","48","Away","McNeese St.","20",
"10/15/05","Southern Miss.","52","Away","UCF","31",
"10/15/05","Stanford","20","Home","Arizona","16",
"11/12/05","Stanford","20","Home","Oregon St.","17",
"10/8/05","Stanford","24","Home","Washington St.","21",
"09/10/05","Stanford","41","Home","Navy","38",
"10/22/05","Stanford","45","Away","Arizona St.","35",
"09/10/05","Syracuse","31","Away","Buffalo","0",
"09/03/05","Tennessee","17","Away","UAB","10",
"11/12/05","Tennessee","20","Away","Memphis","16",
"10/1/05","Tennessee","27","Away","Ole Miss","10",
"11/26/05","Tennessee","27","Home","Kentucky","8",
"09/26/05","Tennessee","30","Home","LSU","27",
"10/1/05","Texas A&M","16","Away","Baylor","13",
"10/22/05","Texas A&M","30","Home","Kansas St.","28",
"09/22/05","Texas A&M","44","Away","Texas St.","31",
"10/15/05","Texas A&M","62","Away","Oklahoma St.","23",
"09/17/05","Texas A&M","66","Away","SMU","8",
"09/03/05","TCU","17","Home","Oklahoma","10",
"09/15/05","TCU","23","Away","Utah","20",
"10/29/05","TCU","23","Home","San Diego St.","20",
"12/31/05","TCU","27","Away","Iowa St.","24",Houston Bowl (Houston TX)
"10/8/05","TCU","28","Home","Wyoming","14",
"11/05/05","TCU","33","Away","Colorado St.","6",
"10/15/05","TCU","38","Away","Army","17",
"10/22/05","TCU","48","Home","Air Force","10",
"10/1/05","TCU","49","Away","New Mexico","28",
"11/12/05","TCU","51","Away","UNLV","3",
"09/24/05","TCU","51","Home","BYU","50",
"11/19/05","Texas Tech","23","Away","Oklahoma","21",
"10/29/05","Texas Tech","28","Home","Baylor","0",
"10/1/05","Texas Tech","30","Away","Kansas","17",
"10/8/05","Texas Tech","34","Home","Nebraska","31",
"09/10/05","Texas Tech","56","Away","FIU","3",
"11/05/05","Texas Tech","56","Away","Texas A&M","17",
"10/15/05","Texas Tech","59","Away","Kansas St.","20",
"09/24/05","Texas Tech","63","Away","Indiana St.","7",
"09/17/05","Texas Tech","80","Away","Sam Houston St.","21",
"09/10/05","Texas","25","Home","Ohio St.","22",
"11/25/05","Texas","40","Home","Texas A&M","29",
"01/04/06","Texas","41","Home","Southern California","38",Rose Bowl (Pasadena CA)
"10/15/05","Texas","42","Away","Colorado","17",
"10/8/05","Texas","45","Away","Oklahoma","12",Dallas TX
"10/29/05","Texas","47","Home","Oklahoma St.","28",
"09/17/05","Texas","51","Away","Rice","10",
"10/1/05","Texas","51","Home","Missouri","20",
"10/22/05","Texas","52","Away","Texas Tech","17",
"09/03/05","Texas","60","Away","La.-Lafayette","3",
"11/05/05","Texas","62","Home","Baylor","0",
"11/12/05","Texas","66","Away","Kansas","14",
"12/03/05","Texas","70","Away","Colorado","3",Big 12 Championship (Houston TX)
"09/24/05","UTEP","21","Away","New Mexico","13",
"10/22/05","UTEP","31","Away","Marshall","3",
"09/03/05","UTEP","34","Home","New Mexico St.","17",
"10/29/05","UTEP","38","Home","Rice","31",
"11/05/05","UTEP","41","Away","Tulsa","38",
"09/16/05","UTEP","44","Away","Houston","41",
"11/12/05","UTEP","45","Away","Texas Southern","0",
"10/14/05","UTEP","45","Home","Tulane","21",Ruston LA
"10/8/05","Toledo","30","Away","Eastern Michigan","3",
"11/04/05","Toledo","30","Home","Ohio","21",
"10/15/05","Toledo","34","Home","Ball St.","14",
"10/22/05","Toledo","38","Away","Buffalo","15",
"09/17/05","Toledo","42","Home","Temple","17",
"11/22/05","Toledo","44","Home","Bowling Green St.","41",
"12/21/05","Toledo","45","Away","UTEP","13",GMAC Bowl (Mobile AL)
"09/10/05","Toledo","56","Away","Western Mich.","23",
"09/01/05","Toledo","62","Away","Western Illinois","14",
"10/4/05","Troy","13","Home","North Texas","10",
"10/20/05","Troy","18","Away","FIU","13",
"09/03/05","Troy","27","Away","Cal Poly","10",
"11/05/05","Troy","28","Away","Florida Atlantic","14",
"10/1/05","Tulane","28","Away","Southeastern Louisiana","21",Baton Rouge LA
"09/24/05","Tulane","31","Home","SMU","10",
"10/22/05","Tulsa","20","Away","SMU","13",
"12/31/05","Tulsa","31","Away","Fresno St.","24",Liberty Bowl (Memphis TN)
"10/8/05","Tulsa","34","Home","Southern Miss.","17",
"09/24/05","Tulsa","37","Away","Memphis","31",
"11/19/05","Tulsa","38","Home","Tulane","14",Monroe LA
"10/15/05","Tulsa","41","Home","Rice","21",
"12/03/05","Tulsa","44","Home","UCF","27",CUSA Championship
"11/12/05","Tulsa","45","Away","East Carolina","13",
"09/17/05","Tulsa","54","Home","North Texas","2",
"10/1/05","UCLA","21","Away","Washington","17",
"10/29/05","UCLA","30","Home","Stanford","27",
"09/17/05","UCLA","41","Away","Oklahoma","24",
"09/03/05","UCLA","44","Home","San Diego St.","21",
"10/15/05","UCLA","44","Home","Washington St.","41",
"11/12/05","UCLA","45","Away","Arizona St.","35",
"10/8/05","UCLA","47","Away","California","40",
"12/30/05","UCLA","50","Away","Northwestern","38",Sun Bowl (El Paso TX)
"10/22/05","UCLA","51","Away","Oregon St.","28",
"09/10/05","UCLA","63","Away","Rice","21",
"10/8/05","Utah St.","24","Away","San Jose St.","17",
"11/26/05","Utah St.","24","Home","New Mexico St.","21",
"09/24/05","Utah St.","31","Away","UNLV","24",
"09/02/05","Utah","27","Away","Arizona","24",
"09/10/05","Utah","31","Away","Utah St.","7",
"09/22/05","Utah","38","Away","Air Force","35",
"12/29/05","Utah","38","Away","Georgia Tech","10",Emerald Bowl (San Francisco CA)
"11/19/05","Utah","41","Home","BYU","34",
"10/22/05","Utah","42","Home","UNLV","32",
"11/05/05","Utah","43","Away","Wyoming","13",
"09/01/05","Vanderbilt","24","Home","Wake Forest","20",
"09/10/05","Vanderbilt","28","Home","Arkansas","24",
"11/19/05","Vanderbilt","28","Home","Tennessee","24",
"09/17/05","Vanderbilt","31","Away","Ole Miss","23",
"09/24/05","Vanderbilt","37","Away","Richmond","13",
"09/04/05","Virginia Tech","20","Home","North Carolina St.","16",
"10/20/05","Virginia Tech","28","Home","Maryland","9",
"10/27/05","Virginia Tech","30","Away","Boston College","10",
"11/26/05","Virginia Tech","30","Away","North Carolina","3",
"10/1/05","Virginia Tech","34","Home","West Virginia","17",
"01/02/06","Virginia Tech","35","Away","Louisville","24",Gator Bowl (Jacksonville FL)
"10/8/05","Virginia Tech","41","Away","Marshall","14",
"09/17/05","Virginia Tech","45","Away","Ohio","0",
"09/10/05","Virginia Tech","45","Home","Duke","0",
"09/24/05","Virginia Tech","51","Away","Georgia Tech","7",
"11/19/05","Virginia Tech","52","Home","Virginia","14",
"10/15/05","Virginia","26","Away","Florida St.","21",
"11/12/05","Virginia","27","Away","Georgia Tech","17",
"09/17/05","Virginia","27","Home","Syracuse","24",
"09/03/05","Virginia","31","Away","Western Mich.","19",
"12/30/05","Virginia","34","Away","Minnesota","31",Music City Bowl (Nashville TN)
"09/24/05","Virginia","38","Away","Duke","7",
"11/05/05","Virginia","51","Away","Temple","3",
"10/22/05","Wake Forest","27","Away","North Carolina St.","19",
"10/1/05","Wake Forest","31","Away","Clemson","27",
"09/17/05","Wake Forest","44","Away","East Carolina","34",
"10/29/05","Wake Forest","44","Home","Duke","6",
"11/19/05","Washington St.","26","Home","Washington","22",
"09/01/05","Washington St.","38","Away","Idaho","26",
"09/17/05","Washington St.","48","Away","Grambling St.","7",Seattle WA
"09/09/05","Washington St.","55","Home","Nevada","21",
"09/17/05","Washington","34","Away","Idaho","6",
"11/12/05","Washington","38","Home","Arizona","14",
"09/04/05","West Virginia","15","Home","Syracuse","7",
"09/24/05","West Virginia","20","Away","East Carolina","15",
"10/8/05","West Virginia","27","Home","Rutgers","14",
"12/03/05","West Virginia","28","Home","South Fla.","13",
"09/17/05","West Virginia","31","Home","Maryland","19",
"09/10/05","West Virginia","35","Away","Wofford","7",
"01/02/06","West Virginia","38","Away","Georgia","35",Sugar Bowl (Atlanta GA)
"11/09/05","West Virginia","38","Home","Cincinnati","0",
"11/02/05","West Virginia","45","Away","Connecticut","13",
"11/24/05","West Virginia","45","Away","Pittsburgh","13",
"10/15/05","West Virginia","46","Away","Louisville","44",
"09/24/05","Western Mich.","19","Home","Temple","16",
"10/1/05","Western Mich.","31","Away","Buffalo","21",
"11/12/05","Western Mich.","31","Away","Central Michigan","24",
"09/17/05","Western Mich.","34","Away","Southern Illinois","28",
"10/29/05","Western Mich.","44","Away","Kent St.","14",
"11/05/05","Western Mich.","44","Home","Eastern Michigan","36",Detroit MI
"10/22/05","Western Mich.","45","Home","Bowling Green St.","14",
"09/17/05","Wisconsin","14","Home","North Carolina","5",
"09/24/05","Wisconsin","23","Away","Michigan","20",
"01/02/06","Wisconsin","24","Away","Auburn","10",Capital One Bowl (Orlando FL)
"10/22/05","Wisconsin","31","Away","Purdue","20",
"10/15/05","Wisconsin","38","Home","Minnesota","34",
"10/1/05","Wisconsin","41","Away","Indiana","24",
"11/25/05","Wisconsin","41","Home","Hawaii","24",
"10/29/05","Wisconsin","41","Home","Illinois","24",
"09/03/05","Wisconsin","56","Away","Bowling Green St.","42",
"09/10/05","Wisconsin","65","Away","Temple","0",
"09/24/05","Wyoming","24","Home","Ole Miss","14",
"09/17/05","Wyoming","29","Home","Air Force","28",
"09/10/05","Wyoming","38","Away","La.-Monroe","0",
"10/1/05","Wyoming","42","Away","UNLV","17",
